ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
maloh-1_hand-1,1_hand,taŋan,t.a.ŋ.a.n,t a ŋ a n,155,false,,maloh,Maloh,emba1238,Embaloh,emb,Austronesian,,hand,1277,HAND,false,expert
merinamalagasy-1_hand-1,1_hand,tanana,t.a.n.a.n.a,t a n a n a,155,false,,merinamalagasy,Merina_Malagasy,plat1254,Plateau Malagasy,plt,Austronesian,,hand,1277,HAND,false,expert
thao-1_hand-1,1_hand,rima,r.i.m.a,r i m a,446,false,,thao,Thao,thao1240,Thao,ssf,Austronesian,,hand,1277,HAND,false,expert
palauan-1_hand-1,1_hand,cʰim,cʰ.i.m,cʰ i m,446,false,,palauan,Palauan,pala1344,Palauan,pau,Austronesian,,hand,1277,HAND,false,expert
tunjung-1_hand-1,1_hand,aŋaʔ,a.ŋ.a.ʔ,a ŋ a ʔ,155,false,,tunjung,Tunjung,tunj1244,Tunjung,tjg,Austronesian,,hand,1277,HAND,false,expert
baree-1_hand-1,1_hand,pale,p.a.l.e,p a l e,1484,false,,baree,Bare'e,pamo1252,Pamona,pmf,Austronesian,,hand,1277,HAND,false,expert
iban-1_hand-1,1_hand,taŋan,t.a.ŋ.a.n,t a ŋ a n,155,false,,iban,Iban,iban1264,Iban,iba,Austronesian,,hand,1277,HAND,false,expert
iban-1_hand-2,1_hand,jari,j.a.r.i,j a r i,1556,false,,iban,Iban,iban1264,Iban,iba,Austronesian,,hand,1277,HAND,false,expert
berawanlongterawan-1_hand-1,1_hand,tisu,t.i.s.u,t i s u,481,false,,berawanlongterawan,Berawan_Long_Terawan,west2564,West Berawan,zbw,Austronesian,,hand,1277,HAND,false,expert
berawanlongterawan-1_hand-2,1_hand,isu,i.s.u,i s u,481,false,,berawanlongterawan,Berawan_Long_Terawan,west2564,West Berawan,zbw,Austronesian,,hand,1277,HAND,false,expert
hanunoo-1_hand-1,1_hand,kamaŋ,k.a.m.a.ŋ,k a m a ŋ,1796,false,,hanunoo,Hanunoo,hanu1241,Hanunoo,hnn,Austronesian,,hand,1277,HAND,false,expert
wuna-1_hand-1,1_hand,lima,l.i.m.a,l i m a,446,false,,wuna,Wuna,muna1247,Muna,mnb,Austronesian,,hand,1277,HAND,false,expert
tetum-1_hand-1,1_hand,liman,l.i.m.a.n,l i m a n,446,false,,tetum,Tetum,tetu1246,Tetun Dili,tdt,Austronesian,,hand,1277,HAND,false,expert
mailu-1_hand-1,1_hand,ima,i.m.a,i m a,446,false,,mailu,Mailu,mail1248,Mailu,mgu,Mailuan,,hand,1277,HAND,false,expert
tsou-1_hand-1,1_hand,mucu,m.u.c.u,m u c u,350,false,,tsou,Tsou,tsou1248,Tsou,tsu,Austronesian,,hand,1277,HAND,false,expert
nias-1_hand-1,1_hand,taŋa,t.a.ŋ.a,t a ŋ a,155,false,,nias,Nias,nias1242,Nias,nia,Austronesian,,hand,1277,HAND,false,expert
centralamis-1_hand-1,1_hand,kamaj,k.a.m.a.j,k a m a j,19,false,,centralamis,Central Amis,amis1246,Amis,ami,Austronesian,,hand,1277,HAND,false,expert
chamorro-1_hand-1,1_hand,kanːai,k.a.nː.a.i,k a nː a i,2515,false,,chamorro,Chamorro,cham1312,Chamorro,cha,Austronesian,,hand,1277,HAND,false,expert
banoni-1_hand-1,1_hand,numa,n.u.m.a,n u m a,446,false,,banoni,Banoni,bann1247,Bannoni,bcm,Austronesian,,hand,1277,HAND,false,expert
singhi-1_hand-1,1_hand,toŋan,t.o.ŋ.a.n,t o ŋ a n,155,false,,singhi,Singhi,baub1235,Bau-Jagoi Bidayuh,sne,Austronesian,,hand,1277,HAND,false,expert
maloh-2_left-1,2_left,kajoko,k.a.j.o.k.o,k a j o k o,1000,false,,maloh,Maloh,emba1238,Embaloh,emb,Austronesian,,left,244,LEFT,false,expert
merinamalagasy-2_left-1,2_left,havia,h.a.v.i.a,h a v i a,483,true,,merinamalagasy,Merina_Malagasy,plat1254,Plateau Malagasy,plt,Austronesian,,left,244,LEFT,false,expert
palauan-2_left-1,2_left,katur,k.a.t.u.r,k a t u r,1253,false,,palauan,Palauan,pala1344,Palauan,pau,Austronesian,,left,244,LEFT,false,expert
tunjung-2_left-1,2_left,ulaj,u.l.a.j,u l a j,645,false,,tunjung,Tunjung,tunj1244,Tunjung,tjg,Austronesian,,left,244,LEFT,false,expert
baree-2_left-1,2_left,kaiː,k.a.iː,k a iː,483,false,,baree,Bare'e,pamo1252,Pamona,pmf,Austronesian,,left,244,LEFT,false,expert
iban-2_left-1,2_left,kibaʔ,k.i.b.a.ʔ,k i b a ʔ,560,false,,iban,Iban,iban1264,Iban,iba,Austronesian,,left,244,LEFT,false,expert
berawanlongterawan-2_left-1,2_left,pəmaiŋ,p.ə.m.a.i.ŋ,p ə m a i ŋ,645,false,,berawanlongterawan,Berawan_Long_Terawan,west2564,West Berawan,zbw,Austronesian,,left,244,LEFT,false,expert
moken-2_left-1,2_left,ʔeloj,ʔ.e.l.o.j,ʔ e l o j,1702,false,,moken,Moken,moke1242,Moken,mwt,Austronesian,,left,244,LEFT,false,expert
hanunoo-2_left-1,2_left,wala,w.a.l.a,w a l a,159,false,,hanunoo,Hanunoo,hanu1241,Hanunoo,hnn,Austronesian,,left,244,LEFT,false,expert
wuna-2_left-1,2_left,kema,k.e.m.a,k e m a,98,false,,wuna,Wuna,muna1247,Muna,mnb,Austronesian,,left,244,LEFT,false,expert
tetum-2_left-1,2_left,karuk,k.a.r.u.k,k a r u k,1881,false,,tetum,Tetum,tetu1246,Tetun Dili,tdt,Austronesian,,left,244,LEFT,false,expert
mailu-2_left-1,2_left,ebe,e.b.e,e b e,1934,false,,mailu,Mailu,mail1248,Mailu,mgu,Mailuan,,left,244,LEFT,false,expert
tsou-2_left-1,2_left,vrina,v.r.i.n.a,v r i n a,483,false,,tsou,Tsou,tsou1248,Tsou,tsu,Austronesian,,left,244,LEFT,false,expert
nias-2_left-1,2_left,kabera,k.a.b.e.r.a,k a b e r a,2227,false,,nias,Nias,nias1242,Nias,nia,Austronesian,,left,244,LEFT,false,expert
centralamis-2_left-1,2_left,kawili,k.a.w.i.l.i,k a w i l i,483,false,,centralamis,Central Amis,amis1246,Amis,ami,Austronesian,,left,244,LEFT,false,expert
chamorro-2_left-1,2_left,akague,a.k.a.g.u.e,a k a g u e,2516,false,,chamorro,Chamorro,cham1312,Chamorro,cha,Austronesian,,left,244,LEFT,false,expert
banoni-2_left-1,2_left,tororona,t.o.r.o.r.o.n.a,t o r o r o n a,2601,false,,banoni,Banoni,bann1247,Bannoni,bcm,Austronesian,,left,244,LEFT,false,expert
singhi-2_left-1,2_left,bait,b.a.i.t,b a i t,2743,false,,singhi,Singhi,baub1235,Bau-Jagoi Bidayuh,sne,Austronesian,,left,244,LEFT,false,expert
banggi-2_left-1,2_left,kuikiwaŋ,k.u.i.k.i.w.a.ŋ,k u i k i w a ŋ,159,true,,banggi,Banggi,bong1289,Bonggi,bdg,Austronesian,,left,244,LEFT,false,expert
maloh-3_right-1,3_right,kato,k.a.t.o,k a t o,519,true,,maloh,Maloh,emba1238,Embaloh,emb,Austronesian,,right,1019,RIGHT,false,expert
merinamalagasy-3_right-1,3_right,havanana,h.a.v.a.n.a.n.a,h a v a n a n a,255,false,,merinamalagasy,Merina_Malagasy,plat1254,Plateau Malagasy,plt,Austronesian,,right,1019,RIGHT,false,expert
palauan-3_right-1,3_right,kadikm,k.a.d.i.k.m,k a d i k m,1254,false,,palauan,Palauan,pala1344,Palauan,pau,Austronesian,,right,1019,RIGHT,false,expert
tunjung-3_right-1,3_right,tauʔ,t.a.u.ʔ,t a u ʔ,519,false,,tunjung,Tunjung,tunj1244,Tunjung,tjg,Austronesian,,right,1019,RIGHT,false,expert
baree-3_right-1,3_right,kana,k.a.n.a,k a n a,255,false,,baree,Bare'e,pamo1252,Pamona,pmf,Austronesian,,right,1019,RIGHT,false,expert
iban-3_right-1,3_right,kanan,k.a.n.a.n,k a n a n,255,false,,iban,Iban,iban1264,Iban,iba,Austronesian,,right,1019,RIGHT,false,expert
berawanlongterawan-3_right-1,3_right,pəŋkatuʔoh,p.ə.ŋ.k.a.t.u.ʔ.o.h,p ə ŋ k a t u ʔ o h,519,false,,berawanlongterawan,Berawan_Long_Terawan,west2564,West Berawan,zbw,Austronesian,,right,1019,RIGHT,false,expert
moken-3_right-1,3_right,nanaːn,n.a.n.aː.n,n a n aː n,255,false,,moken,Moken,moke1242,Moken,mwt,Austronesian,,right,1019,RIGHT,false,expert
hanunoo-3_right-1,3_right,sikun,s.i.k.u.n,s i k u n,184,true,,hanunoo,Hanunoo,hanu1241,Hanunoo,hnn,Austronesian,,right,1019,RIGHT,false,expert
wuna-3_right-1,3_right,swana,s.w.a.n.a,s w a n a,255,false,,wuna,Wuna,muna1247,Muna,mnb,Austronesian,,right,1019,RIGHT,false,expert
tetum-3_right-1,3_right,kwana,k.w.a.n.a,k w a n a,255,false,,tetum,Tetum,tetu1246,Tetun Dili,tdt,Austronesian,,right,1019,RIGHT,false,expert
mailu-3_right-1,3_right,iata,i.a.t.a,i a t a,1935,false,,mailu,Mailu,mail1248,Mailu,mgu,Mailuan,,right,1019,RIGHT,false,expert
tsou-3_right-1,3_right,vhona,v.h.o.n.a,v h o n a,255,false,,tsou,Tsou,tsou1248,Tsou,tsu,Austronesian,,right,1019,RIGHT,false,expert
nias-3_right-1,3_right,kawõlõ,k.a.w.õ.l.õ,k a w õ l õ,2228,false,,nias,Nias,nias1242,Nias,nia,Austronesian,,right,1019,RIGHT,false,expert
centralamis-3_right-1,3_right,kawanan,k.a.w.a.n.a.n,k a w a n a n,255,false,,centralamis,Central Amis,amis1246,Amis,ami,Austronesian,,right,1019,RIGHT,false,expert
banoni-3_right-1,3_right,matoː,m.a.t.oː,m a t oː,519,false,,banoni,Banoni,bann1247,Bannoni,bcm,Austronesian,,right,1019,RIGHT,false,expert
singhi-3_right-1,3_right,toux,t.o.u.x,t o u x,519,false,,singhi,Singhi,baub1235,Bau-Jagoi Bidayuh,sne,Austronesian,,right,1019,RIGHT,false,expert
banggi-3_right-1,3_right,kikuan,k.i.k.u.a.n,k i k u a n,184,true,,banggi,Banggi,bong1289,Bonggi,bdg,Austronesian,,right,1019,RIGHT,false,expert
merinamalagasy-4_legfoot-1,4_legfoot,ranjo,r.a.n.j.o,r a n j o,97,true,,merinamalagasy,Merina_Malagasy,plat1254,Plateau Malagasy,plt,Austronesian,,leg/foot,2098,FOOT OR LEG,false,expert
merinamalagasy-4_legfoot-2,4_legfoot,toŋotra,t.o.ŋ.o.t.r.a,t o ŋ o t r a,1053,false,,merinamalagasy,Merina_Malagasy,plat1254,Plateau Malagasy,plt,Austronesian,,leg/foot,2098,FOOT OR LEG,false,expert
thao-4_legfoot-1,4_legfoot,kuskus,k.u.s.k.u.s,k u s k u s,1161,false,,thao,Thao,thao1240,Thao,ssf,Austronesian,,leg/foot,2098,FOOT OR LEG,false,expert
palauan-4_legfoot-1,4_legfoot,oacʰ,o.a.cʰ,o a cʰ,290,true,,palauan,Palauan,pala1344,Palauan,pau,Austronesian,,leg/foot,2098,FOOT OR LEG,false,expert
tunjung-4_legfoot-1,4_legfoot,uneŋ,u.n.e.ŋ,u n e ŋ,1401,false,,tunjung,Tunjung,tunj1244,Tunjung,tjg,Austronesian,,leg/foot,2098,FOOT OR LEG,false,expert
baree-4_legfoot-1,4_legfoot,witi,w.i.t.i,w i t i,28,false,,baree,Bare'e,pamo1252,Pamona,pmf,Austronesian,,leg/foot,2098,FOOT OR LEG,false,expert
iban-4_legfoot-1,4_legfoot,kaki,k.a.k.i,k a k i,290,false,,iban,Iban,iban1264,Iban,iba,Austronesian,,leg/foot,2098,FOOT OR LEG,false,expert
iban-4_legfoot-2,4_legfoot,pah,p.a.h,p a h,1557,false,,iban,Iban,iban1264,Iban,iba,Austronesian,,leg/foot,2098,FOOT OR LEG,false,expert
berawanlongterawan-4_legfoot-1,4_legfoot,gimaʔ,g.i.m.a.ʔ,g i m a ʔ,366,false,,berawanlongterawan,Berawan_Long_Terawan,west2564,West Berawan,zbw,Austronesian,,leg/foot,2098,FOOT OR LEG,false,expert
moken-4_legfoot-1,4_legfoot,pakaʔ,p.a.k.a.ʔ,p a k a ʔ,199,false,,moken,Moken,moke1242,Moken,mwt,Austronesian,,leg/foot,2098,FOOT OR LEG,false,expert
moken-4_legfoot-2,4_legfoot,kakaj,k.a.k.a.j,k a k a j,290,false,,moken,Moken,moke1242,Moken,mwt,Austronesian,,leg/foot,2098,FOOT OR LEG,false,expert
hanunoo-4_legfoot-1,4_legfoot,raparapa,r.a.p.a.r.a.p.a,r a p a r a p a,1797,false,,hanunoo,Hanunoo,hanu1241,Hanunoo,hnn,Austronesian,,leg/foot,2098,FOOT OR LEG,false,expert
wuna-4_legfoot-1,4_legfoot,gʰagʰe,gʰ.a.gʰ.e,gʰ a gʰ e,290,false,,wuna,Wuna,muna1247,Muna,mnb,Austronesian,,leg/foot,2098,FOOT OR LEG,false,expert
tetum-4_legfoot-1,4_legfoot,ain,a.i.n,a i n,290,false,,tetum,Tetum,tetu1246,Tetun Dili,tdt,Austronesian,,leg/foot,2098,FOOT OR LEG,false,expert
mailu-4_legfoot-1,4_legfoot,au,a.u,a u,1936,false,,mailu,Mailu,mail1248,Mailu,mgu,Mailuan,,leg/foot,2098,FOOT OR LEG,false,expert
tsou-4_legfoot-1,4_legfoot,ruru,r.u.r.u,r u r u,2099,false,,tsou,Tsou,tsou1248,Tsou,tsu,Austronesian,,leg/foot,2098,FOOT OR LEG,false,expert
nias-4_legfoot-1,4_legfoot,ahe,a.h.e,a h e,290,false,,nias,Nias,nias1242,Nias,nia,Austronesian,,leg/foot,2098,FOOT OR LEG,false,expert
centralamis-4_legfoot-1,4_legfoot,waqaj,w.a.q.a.j,w a q a j,290,false,,centralamis,Central Amis,amis1246,Amis,ami,Austronesian,,leg/foot,2098,FOOT OR LEG,false,expert
chamorro-4_legfoot-1,4_legfoot,adːeŋ,a.dː.e.ŋ,a dː e ŋ,2517,false,,chamorro,Chamorro,cham1312,Chamorro,cha,Austronesian,,leg/foot,2098,FOOT OR LEG,false,expert
banoni-4_legfoot-1,4_legfoot,rapinːa,r.a.p.i.nː.a,r a p i nː a,2602,false,,banoni,Banoni,bann1247,Bannoni,bcm,Austronesian,,leg/foot,2098,FOOT OR LEG,false,expert
singhi-4_legfoot-1,4_legfoot,peun,p.e.u.n,p e u n,2744,false,,singhi,Singhi,baub1235,Bau-Jagoi Bidayuh,sne,Austronesian,,leg/foot,2098,FOOT OR LEG,false,expert
banggi-4_legfoot-1,4_legfoot,uei,u.e.i,u e i,290,false,,banggi,Banggi,bong1289,Bonggi,bdg,Austronesian,,leg/foot,2098,FOOT OR LEG,false,expert
maloh-5_towalk-1,5_towalk,lambaʔ,l.a.m.b.a.ʔ,l a m b a ʔ,563,false,,maloh,Maloh,emba1238,Embaloh,emb,Austronesian,,to walk,1443,WALK,false,expert
merinamalagasy-5_towalk-1,5_towalk,mandéha,m.a.n.d.é.h.a,m a n d ʔ e h a,1054,false,,merinamalagasy,Merina_Malagasy,plat1254,Plateau Malagasy,plt,Austronesian,,to walk,1443,WALK,false,expert
palauan-5_towalk-1,5_towalk,merael,m.e.r.a.e.l,m e r a e l,212,false,,palauan,Palauan,pala1344,Palauan,pau,Austronesian,,to walk,1443,WALK,false,expert
tunjung-5_towalk-1,5_towalk,calan,c.a.l.a.n,c a l a n,212,false,,tunjung,Tunjung,tunj1244,Tunjung,tjg,Austronesian,,to walk,1443,WALK,false,expert
baree-5_towalk-1,5_towalk,linja,l.i.n.j.a,l i n j a,99,false,,baree,Bare'e,pamo1252,Pamona,pmf,Austronesian,,to walk,1443,WALK,false,expert
iban-5_towalk-1,5_towalk,jalai,j.a.l.a.i,j a l a i,212,false,,iban,Iban,iban1264,Iban,iba,Austronesian,,to walk,1443,WALK,false,expert
berawanlongterawan-5_towalk-1,5_towalk,lakaw,l.a.k.a.w,l a k a w,57,false,,berawanlongterawan,Berawan_Long_Terawan,west2564,West Berawan,zbw,Austronesian,,to walk,1443,WALK,false,expert
moken-5_towalk-1,5_towalk,lakaw,l.a.k.a.w,l a k a w,57,false,,moken,Moken,moke1242,Moken,mwt,Austronesian,,to walk,1443,WALK,false,expert
hanunoo-5_towalk-1,5_towalk,lumakaw,l.u.m.a.k.a.w,l u m a k a w,57,false,,hanunoo,Hanunoo,hanu1241,Hanunoo,hnn,Austronesian,,to walk,1443,WALK,false,expert
wuna-5_towalk-1,5_towalk,nokala,n.o.k.a.l.a,n o k a l a,362,false,,wuna,Wuna,muna1247,Muna,mnb,Austronesian,,to walk,1443,WALK,false,expert
tetum-5_towalk-1,5_towalk,laʔo,l.a.ʔ.o,l a ʔ o,57,false,,tetum,Tetum,tetu1246,Tetun Dili,tdt,Austronesian,,to walk,1443,WALK,false,expert
mailu-5_towalk-1,5_towalk,baebae,b.a.e.b.a.e,b a e b a e,1937,false,,mailu,Mailu,mail1248,Mailu,mgu,Mailuan,,to walk,1443,WALK,false,expert
tsou-5_towalk-1,5_towalk,coeconʉ,c.o.e.c.o.n.ʉ,c o e c o n ʉ,2100,false,,tsou,Tsou,tsou1248,Tsou,tsu,Austronesian,,to walk,1443,WALK,false,expert
nias-5_towalk-1,5_towalk,fanõ,f.a.n.õ,f a n õ,416,false,,nias,Nias,nias1242,Nias,nia,Austronesian,,to walk,1443,WALK,false,expert
centralamis-5_towalk-1,5_towalk,lumakat,l.u.m.a.k.a.t,l u m a k a t,690,false,,centralamis,Central Amis,amis1246,Amis,ami,Austronesian,,to walk,1443,WALK,false,expert
centralamis-5_towalk-2,5_towalk,rumakat,r.u.m.a.k.a.t,r u m a k a t,690,false,,centralamis,Central Amis,amis1246,Amis,ami,Austronesian,,to walk,1443,WALK,false,expert
chamorro-5_towalk-1,5_towalk,lahu,l.a.h.u,l a h u,57,false,,chamorro,Chamorro,cham1312,Chamorro,cha,Austronesian,,to walk,1443,WALK,false,expert
singhi-5_towalk-1,5_towalk,ponu,p.o.n.u,p o n u,416,false,,singhi,Singhi,baub1235,Bau-Jagoi Bidayuh,sne,Austronesian,,to walk,1443,WALK,false,expert
banggi-5_towalk-1,5_towalk,empaːno,e.m.p.aː.n.o,e m p aː n o,416,false,,banggi,Banggi,bong1289,Bonggi,bdg,Austronesian,,to walk,1443,WALK,false,expert
maloh-6_roadpath-1,6_roadpath,dalan,d.a.l.a.n,d a l a n,95,false,,maloh,Maloh,emba1238,Embaloh,emb,Austronesian,,road/path,2457,PATH OR ROAD,false,expert
merinamalagasy-6_roadpath-1,6_roadpath,lalana,l.a.l.a.n.a,l a l a n a,95,false,,merinamalagasy,Merina_Malagasy,plat1254,Plateau Malagasy,plt,Austronesian,,road/path,2457,PATH OR ROAD,false,expert
thao-6_roadpath-1,6_roadpath,saran,s.a.r.a.n,s a r a n,95,false,,thao,Thao,thao1240,Thao,ssf,Austronesian,,road/path,2457,PATH OR ROAD,false,expert
palauan-6_roadpath-1,6_roadpath,rael,r.a.e.l,r a e l,95,false,,palauan,Palauan,pala1344,Palauan,pau,Austronesian,,road/path,2457,PATH OR ROAD,false,expert
tunjung-6_roadpath-1,6_roadpath,loroŋ,l.o.r.o.ŋ,l o r o ŋ,95,false,,tunjung,Tunjung,tunj1244,Tunjung,tjg,Austronesian,,road/path,2457,PATH OR ROAD,false,expert
baree-6_roadpath-1,6_roadpath,jaja,j.a.j.a,j a j a,95,false,,baree,Bare'e,pamo1252,Pamona,pmf,Austronesian,,road/path,2457,PATH OR ROAD,false,expert
iban-6_roadpath-1,6_roadpath,jalai,j.a.l.a.i,j a l a i,95,false,,iban,Iban,iban1264,Iban,iba,Austronesian,,road/path,2457,PATH OR ROAD,false,expert
berawanlongterawan-6_roadpath-1,6_roadpath,ilan,i.l.a.n,i l a n,95,false,,berawanlongterawan,Berawan_Long_Terawan,west2564,West Berawan,zbw,Austronesian,,road/path,2457,PATH OR ROAD,false,expert
hanunoo-6_roadpath-1,6_roadpath,dalan,d.a.l.a.n,d a l a n,95,false,,hanunoo,Hanunoo,hanu1241,Hanunoo,hnn,Austronesian,,road/path,2457,PATH OR ROAD,false,expert
wuna-6_roadpath-1,6_roadpath,sala,s.a.l.a,s a l a,95,false,,wuna,Wuna,muna1247,Muna,mnb,Austronesian,,road/path,2457,PATH OR ROAD,false,expert
tetum-6_roadpath-1,6_roadpath,dalan,d.a.l.a.n,d a l a n,95,false,,tetum,Tetum,tetu1246,Tetun Dili,tdt,Austronesian,,road/path,2457,PATH OR ROAD,false,expert
mailu-6_roadpath-1,6_roadpath,laea,l.a.e.a,l a e a,1938,false,,mailu,Mailu,mail1248,Mailu,mgu,Mailuan,,road/path,2457,PATH OR ROAD,false,expert
tsou-6_roadpath-1,6_roadpath,ceonʉ,c.e.o.n.ʉ,c e o n ʉ,95,false,,tsou,Tsou,tsou1248,Tsou,tsu,Austronesian,,road/path,2457,PATH OR ROAD,false,expert
nias-6_roadpath-1,6_roadpath,lala,l.a.l.a,l a l a,95,false,,nias,Nias,nias1242,Nias,nia,Austronesian,,road/path,2457,PATH OR ROAD,false,expert
centralamis-6_roadpath-1,6_roadpath,lalan,l.a.l.a.n,l a l a n,95,false,,centralamis,Central Amis,amis1246,Amis,ami,Austronesian,,road/path,2457,PATH OR ROAD,false,expert
chamorro-6_roadpath-1,6_roadpath,cʰalan,cʰ.a.l.a.n,cʰ a l a n,95,false,,chamorro,Chamorro,cham1312,Chamorro,cha,Austronesian,,road/path,2457,PATH OR ROAD,false,expert
banoni-6_roadpath-1,6_roadpath,sanana,s.a.n.a.n.a,s a n a n a,95,false,,banoni,Banoni,bann1247,Bannoni,bcm,Austronesian,,road/path,2457,PATH OR ROAD,false,expert
singhi-6_roadpath-1,6_roadpath,aran,a.r.a.n,a r a n,95,false,,singhi,Singhi,baub1235,Bau-Jagoi Bidayuh,sne,Austronesian,,road/path,2457,PATH OR ROAD,false,expert
maloh-7_tocome-1,7_tocome,mondok,m.o.n.d.o.k,m o n d o k,1001,false,,maloh,Maloh,emba1238,Embaloh,emb,Austronesian,,to come,1446,COME,false,expert
merinamalagasy-7_tocome-1,7_tocome,avj,a.v.j,a v j,154,false,,merinamalagasy,Merina_Malagasy,plat1254,Plateau Malagasy,plt,Austronesian,,to come,1446,COME,false,expert
merinamalagasy-7_tocome-2,7_tocome,toŋa,t.o.ŋ.a,t o ŋ a,1055,false,,merinamalagasy,Merina_Malagasy,plat1254,Plateau Malagasy,plt,Austronesian,,to come,1446,COME,false,expert
thao-7_tocome-1,7_tocome,munaj,m.u.n.a.j,m u n a j,1162,false,,thao,Thao,thao1240,Thao,ssf,Austronesian,,to come,1446,COME,false,expert
palauan-7_tocome-1,7_tocome,méi,m.é.i,m ʔ e i,719,false,,palauan,Palauan,pala1344,Palauan,pau,Austronesian,,to come,1446,COME,false,expert
tunjung-7_tocome-1,7_tocome,moːt,m.oː.t,m oː t,1402,false,,tunjung,Tunjung,tunj1244,Tunjung,tjg,Austronesian,,to come,1446,COME,false,expert
baree-7_tocome-1,7_tocome,maʔi,m.a.ʔ.i,m a ʔ i,719,false,,baree,Bare'e,pamo1252,Pamona,pmf,Austronesian,,to come,1446,COME,false,expert
iban-7_tocome-1,7_tocome,datai,d.a.t.a.i,d a t a i,561,true,,iban,Iban,iban1264,Iban,iba,Austronesian,,to come,1446,COME,false,expert
berawanlongterawan-7_tocome-1,7_tocome,liʔ,l.i.ʔ,l i ʔ,1631,false,,berawanlongterawan,Berawan_Long_Terawan,west2564,West Berawan,zbw,Austronesian,,to come,1446,COME,false,expert
moken-7_tocome-1,7_tocome,ŋadin,ŋ.a.d.i.n,ŋ a d i n,1703,false,,moken,Moken,moke1242,Moken,mwt,Austronesian,,to come,1446,COME,false,expert
hanunoo-7_tocome-1,7_tocome,balik,b.a.l.i.k,b a l i k,1798,false,,hanunoo,Hanunoo,hanu1241,Hanunoo,hnn,Austronesian,,to come,1446,COME,false,expert
wuna-7_tocome-1,7_tocome,mai,m.a.i,m a i,719,false,,wuna,Wuna,muna1247,Muna,mnb,Austronesian,,to come,1446,COME,false,expert
tetum-7_tocome-1,7_tocome,mai,m.a.i,m a i,719,false,,tetum,Tetum,tetu1246,Tetun Dili,tdt,Austronesian,,to come,1446,COME,false,expert
mailu-7_tocome-1,7_tocome,ai,a.i,a i,719,true,,mailu,Mailu,mail1248,Mailu,mgu,Mailuan,,to come,1446,COME,false,expert
tsou-7_tocome-1,7_tocome,oh,o.h,o h,3,false,,tsou,Tsou,tsou1248,Tsou,tsu,Austronesian,,to come,1446,COME,false,expert
tsou-7_tocome-2,7_tocome,uso,u.s.o,u s o,3,false,,tsou,Tsou,tsou1248,Tsou,tsu,Austronesian,,to come,1446,COME,false,expert
nias-7_tocome-1,7_tocome,mõi,m.õ.i,m õ i,719,false,,nias,Nias,nias1242,Nias,nia,Austronesian,,to come,1446,COME,false,expert
centralamis-7_tocome-1,7_tocome,tajni,t.a.j.n.i,t a j n i,2334,false,,centralamis,Central Amis,amis1246,Amis,ami,Austronesian,,to come,1446,COME,false,expert
singhi-7_tocome-1,7_tocome,nug,n.u.g,n u g,2745,false,,singhi,Singhi,baub1235,Bau-Jagoi Bidayuh,sne,Austronesian,,to come,1446,COME,false,expert
banggi-7_tocome-1,7_tocome,miaːtaŋ,m.i.aː.t.a.ŋ,m i aː t a ŋ,2845,false,,banggi,Banggi,bong1289,Bonggi,bdg,Austronesian,,to come,1446,COME,false,expert
maloh-8_toturn-1,8_toturn,lempaŋ,l.e.m.p.a.ŋ,l e m p a ŋ,1002,false,,maloh,Maloh,emba1238,Embaloh,emb,Austronesian,,to turn,1588,TURN,false,expert
merinamalagasy-8_toturn-1,8_toturn,vilj,v.i.l.j,v i l j,367,true,,merinamalagasy,Merina_Malagasy,plat1254,Plateau Malagasy,plt,Austronesian,,to turn,1588,TURN,false,expert
thao-8_toturn-1,8_toturn,taushuqish,t.a.u.s.h.u.q.i.s.h,t a u s h u q i s h,1163,false,,thao,Thao,thao1240,Thao,ssf,Austronesian,,to turn,1588,TURN,false,expert
palauan-8_toturn-1,8_toturn,meŋesoim,m.e.ŋ.e.s.o.i.m,m e ŋ e s o i m,1255,false,,palauan,Palauan,pala1344,Palauan,pau,Austronesian,,to turn,1588,TURN,false,expert
tunjung-8_toturn-1,8_toturn,nencaŋ,n.e.n.c.a.ŋ,n e n c a ŋ,1403,false,,tunjung,Tunjung,tunj1244,Tunjung,tjg,Austronesian,,to turn,1588,TURN,false,expert
baree-8_toturn-1,8_toturn,gili,g.i.l.i,g i l i,591,false,,baree,Bare'e,pamo1252,Pamona,pmf,Austronesian,,to turn,1588,TURN,false,expert
iban-8_toturn-1,8_toturn,bilok,b.i.l.o.k,b i l o k,431,false,,iban,Iban,iban1264,Iban,iba,Austronesian,,to turn,1588,TURN,false,expert
berawanlongterawan-8_toturn-1,8_toturn,ŋəlibiʔ,ŋ.ə.l.i.b.i.ʔ,ŋ ə l i b i ʔ,1632,false,,berawanlongterawan,Berawan_Long_Terawan,west2564,West Berawan,zbw,Austronesian,,to turn,1588,TURN,false,expert
moken-8_toturn-1,8_toturn,nʲiliək,nʲ.i.l.i.ə.k,nʲ i l i ə k,1704,false,,moken,Moken,moke1242,Moken,mwt,Austronesian,,to turn,1588,TURN,false,expert
hanunoo-8_toturn-1,8_toturn,simaŋ,s.i.m.a.ŋ,s i m a ŋ,1799,false,,hanunoo,Hanunoo,hanu1241,Hanunoo,hnn,Austronesian,,to turn,1588,TURN,false,expert
