ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
Anonimo-1_one-1,1_one,huc,huc,h u k,663,,,Anonimo,Anónimo,,,,,Quechua,one,1493,ONE,,
Apuri-1_one-1,1_one,huk,huk,h u k,663,,,Apuri,Apurí-Madean-Viñac,apur1253,Apurí,,Quechuan,Quechua,one,1493,ONE,,
Apurimac-1_one-1,1_one,"huk, huj, huq",huk,h u k,663,,,Apurimac,Eastern-Apurímac,east2551,Eastern Apurímac Quechua,qve,Quechuan,Quechua,one,1493,ONE,,
Apurimac-1_one-2,1_one,"huk, huj, huq",huj,h u χ,663,,,Apurimac,Eastern-Apurímac,east2551,Eastern Apurímac Quechua,qve,Quechuan,Quechua,one,1493,ONE,,
Apurimac-1_one-3,1_one,"huk, huj, huq",huq,h u q,663,,,Apurimac,Eastern-Apurímac,east2551,Eastern Apurímac Quechua,qve,Quechuan,Quechua,one,1493,ONE,,
Arma-1_one-1,1_one,huk,huk,h u k,663,,,Arma,Arma,,,,,Quechua,one,1493,ONE,,
Atalla-1_one-1,1_one,huk,huk,h u k,663,,,Atalla,Huancavelica,huan1249,Huancavelica,,Quechuan,Quechua,one,1493,ONE,,
Ayacucho-1_one-1,1_one,huk,huk,h u k,663,,,Ayacucho,Ayacucho,ayac1239,Ayacucho Quechua,quy,Quechuan,Quechua,one,1493,ONE,,
Bobonaza-1_one-1,1_one,shuj,shuj,ʃ u x,663,,,Bobonaza,Bobonaza,,,,,Quechua,one,1493,ONE,,
Cacra-Hongos-1_one-1,1_one,huk,huk,h u k,663,,,Cacra-Hongos,Cacra-Hongos,cacr1238,Cacra-Hongos,,Quechuan,Quechua,one,1493,ONE,,
Chachapoyas-1_one-1,1_one,suj,suj,s u x,663,,,Chachapoyas,Chachapoyas,chac1250,Chachapoyas Quechua,quk,Quechuan,Quechua,one,1493,ONE,,
Chacpar-1_one-1,1_one,huk,huk,h u k,663,,,Chacpar,Chavín,,,,,Quechua,one,1493,ONE,,
Chetilla-1_one-1,1_one,suχ,suχ,s u χ,663,,,Chetilla,Cajamarca,caja1238,Cajamarca Quechua,qvc,Quechuan,Quechua,one,1493,ONE,,
Chipaya-1_one-1,1_one,zinta,zinta,z i n t a,664,,,Chipaya,Chipaya,chip1262,Chipaya,cap,Uru-Chipaya,Uru-Chipaya,one,1493,ONE,,
Curva-1_one-1,1_one,ux,ux,u x,663,,,Curva,Apolobamba,apol1241,Apolo,,Quechuan,Quechua,one,1493,ONE,,
Cuzco-1_one-1,1_one,huχ,huχ,h u χ,663,,,Cuzco,Cuzco,cusc1236,Cusco Quechua,quz,Quechuan,Quechua,one,1493,ONE,,
CuzquenoAntiguo-1_one-1,1_one,huc,huc,h u k,663,,,CuzquenoAntiguo,Cuzqueño Antiguo,,,,,Quechua,one,1493,ONE,,
Huallaga-1_one-1,1_one,huk,huk,h u k,663,,,Huallaga,Huallaga-Huánuco,hual1241,Huallaga Huánuco Quechua,qub,Quechuan,Quechua,one,1493,ONE,,
Huanca-1_one-1,1_one,suk,suk,s u k,663,,,Huanca,Huaylla-Huanca,huay1241,Huaylla Wanca Quechua,qvw,Quechuan,Quechua,one,1493,ONE,,
Jauja-1_one-1,1_one,huk,huk,h u k,663,,,Jauja,Jauja-Huanca,jauj1238,Jauja Wanca Quechua,qxw,Quechuan,Quechua,one,1493,ONE,,
Huancane-1_one-1,1_one,maya,maya,m a j a,528,,,Huancane,Huancané,,,,,Aymara,one,1493,ONE,,
Huangascar-1_one-1,1_one,huk,huk,h u k,663,,,Huangascar,Chocos-Huangáscar,azan1238,Azángaro-Huangáscar-Chocos,,Quechuan,Quechua,one,1493,ONE,,
HuarazHuailas-1_one-1,1_one,huk,huk,x u k,663,,,HuarazHuailas,Huaraz-Huailas,huai1241,Huailas,,Quechuan,Quechua,one,1493,ONE,,
Imbabura-1_one-1,1_one,shuk,shuk,ʃ u k,663,,,Imbabura,Imbabura,imba1240,Imbabura Highland Quichua,qvi,Quechuan,Quechua,one,1493,ONE,,
Inkawasi-1_one-1,1_one,uk,uk,u k,663,,,Inkawasi,Lambayeque,lamb1276,Lambayeque Quechua,quf,Quechuan,Quechua,one,1493,ONE,,
Iruhito-1_one-1,1_one,tsi:,tsi:,t s iː,1003,,,Iruhito,Iruhito,urui1234,Uru-Iruito,,Uru-Chipaya,Uru-Chipaya,one,1493,ONE,,
Jaqaru-1_one-1,1_one,maya,maya,m a j a,528,,,Jaqaru,Jaqaru,jaqa1244,Jaqaru,jqr,Aymaran,Aymara,one,1493,ONE,,
Kawki-1_one-1,1_one,maya,maya,m a j a,528,,,Kawki,Kawki,cauq1239,Cauqui of Cachuy,,Aymaran,Aymara,one,1493,ONE,,
Lamas-1_one-1,1_one,suk,suk,s u k,663,,,Lamas,San Martín,sanm1289,San Martín Quechua,qvs,Quechuan,Quechua,one,1493,ONE,,
Laraos-1_one-1,1_one,huk,huk,h u k,663,,,Laraos,Laraos,yauy1235,Yauyos Quechua,qux,Quechuan,Quechua,one,1493,ONE,,
Lincha-Tana-1_one-1,1_one,huk,huk,h u k,663,,,Lincha-Tana,Lincha-Tana,tana1291,Tana-Lincha,,Quechuan,Quechua,one,1493,ONE,,
Maragua-1_one-1,1_one,ux,ux,u x,663,,,Maragua,Chuquisaca,sout2991,South Bolivian Quechua,quh,Quechuan,Quechua,one,1493,ONE,,
Napo-1_one-1,1_one,shuj,shuj,ʃ u,663,,,Napo,Napo,napo1242,Napo Lowland Quechua,qvo,Quechuan,Quechua,one,1493,ONE,,
Pacaraos-1_one-1,1_one,huk,huk,x u k,663,,,Pacaraos,Pacaraos,paca1245,Pacaraos Quechua,qvp,Quechuan,Quechua,one,1493,ONE,,
Pastaza-1_one-1,1_one,shuc,shuc,ʃ u k,663,,,Pastaza,Pastaza,sout2990,Southern Pastaza Quechua,qup,Quechuan,Quechua,one,1493,ONE,,
Pocona-1_one-1,1_one,ux,ux,u x,663,,,Pocona,Cochabamba,coch1274,Cochabamba,,Quechuan,Quechua,one,1493,ONE,,
Puki-1_one-1,1_one,maya,maya,m a j a,528,,,Puki,Puki,,,,,Aymara,one,1493,ONE,,
Puno-1_one-1,1_one,ux,ux,u x,663,,,Puno,Puno,puno1238,Puno Quechua,qxp,Quechuan,Quechua,one,1493,ONE,,
Putumayo-1_one-1,1_one,sug,sug,s u g,663,,,Putumayo,Colombian Inga,inga1252,Colombian Inga,inb,Quechuan,Quechua,one,1493,ONE,,
Raimondi-1_one-1,1_one,huk,huk,x u k,663,,,Raimondi,Antonio Raimondi,,,,,Quechua,one,1493,ONE,,
SanPedro-1_one-1,1_one,huk,huk,h u k,663,,,SanPedro,Liscay-San Pedro,sanp1258,San Pedro de Huacarpana,,Quechuan,Quechua,one,1493,ONE,,
Santiagueno-1_one-1,1_one,suk,suk,s u x,663,,,Santiagueno,Santiago del Estero,sant1432,Santiago del Estero Quichua,qus,Quechuan,Quechua,one,1493,ONE,,
SantoTomas-1_one-1,1_one,ʃuc,ʃuc,s u k,663,,,SantoTomas,Santo Tomás,clas1251,Classical Quechua,qwc,Quechuan,Quechua,one,1493,ONE,,
Serena-1_one-1,1_one,šux,šux,ʃ u x,663,,,Serena,Tena,tena1240,Tena Lowland Quichua,quw,Quechuan,Quechua,one,1493,ONE,,
Sullkatiti-1_one-1,1_one,maya,maya,m a j a,528,,,Sullkatiti,Sullkatiti,,,,,Aymara,one,1493,ONE,,
Taquile-1_one-1,1_one,ux,ux,u x,663,,,Taquile,Taquile,,,,,Quechua,one,1493,ONE,,
Tarma-1_one-1,1_one,xuk,xuk,χ o k,663,,,Tarma,Yaru,yaru1256,Yaru Quechua,,Quechuan,Quechua,one,1493,ONE,,
Troje-1_one-1,1_one,šux,šux,ʃ u x,663,,,Troje,Chimborazo,nort3351,North Chimborazo Highland Quichua,,Quechuan,Quechua,one,1493,ONE,,
Tsimu-1_one-1,1_one,pí:si,pí:si,p iː s i,1011,,,Tsimu,Ts’imu,tsim1260,Ts'imu,,Uru-Chipaya,Uru-Chipaya,one,1493,ONE,,
Wari-1_one-1,1_one,huk,huk,x u k,663,,,Wari,Huari,,,,,Quechua,one,1493,ONE,,
Yanac-1_one-1,1_one,uk,uk,u k,663,,,Yanac,Corongo,coro1247,Corongo Ancash Quechua,qwa,Quechuan,Quechua,one,1493,ONE,,
Anonimo-10_ten-1,10_ten,chunca,chunca,tʃ u n k a,897,,,Anonimo,Anónimo,,,,,Quechua,ten,1515,TEN,,
Apuri-10_ten-1,10_ten,trunka,trunka,ʈ u n k a,897,,,Apuri,Apurí-Madean-Viñac,apur1253,Apurí,,Quechuan,Quechua,ten,1515,TEN,,
Apurimac-10_ten-1,10_ten,chunka,chunka,tʃ u n k a,897,,,Apurimac,Eastern-Apurímac,east2551,Eastern Apurímac Quechua,qve,Quechuan,Quechua,ten,1515,TEN,,
Arma-10_ten-1,10_ten,chunka,chunka,tʃ u n k a,897,,,Arma,Arma,,,,,Quechua,ten,1515,TEN,,
Atalla-10_ten-1,10_ten,čunka,čunka,tʃ u n k a,897,,,Atalla,Huancavelica,huan1249,Huancavelica,,Quechuan,Quechua,ten,1515,TEN,,
Ayacucho-10_ten-1,10_ten,chunka,chunka,tʃ u n k a,897,,,Ayacucho,Ayacucho,ayac1239,Ayacucho Quechua,quy,Quechuan,Quechua,ten,1515,TEN,,
Bobonaza-10_ten-1,10_ten,chunga,chunga,tʃ u n g a,897,,,Bobonaza,Bobonaza,,,,,Quechua,ten,1515,TEN,,
Cacra-Hongos-10_ten-1,10_ten,trunka,trunka,ʈ u n k a,897,,,Cacra-Hongos,Cacra-Hongos,cacr1238,Cacra-Hongos,,Quechuan,Quechua,ten,1515,TEN,,
Chachapoyas-10_ten-1,10_ten,ĉunka,ĉunka,ʈʂ u n g a,897,,,Chachapoyas,Chachapoyas,chac1250,Chachapoyas Quechua,quk,Quechuan,Quechua,ten,1515,TEN,,
Chacpar-10_ten-1,10_ten,čunka,čunka,tʃ u n k a,897,,,Chacpar,Chavín,,,,,Quechua,ten,1515,TEN,,
Chetilla-10_ten-1,10_ten,ĉunga,ĉunga,ʈʂ u n g a,897,,,Chetilla,Cajamarca,caja1238,Cajamarca Quechua,qvc,Quechuan,Quechua,ten,1515,TEN,,
Chipaya-10_ten-1,10_ten,tunka,tunka,t u n k a,583,,quechua,Chipaya,Chipaya,chip1262,Chipaya,cap,Uru-Chipaya,Uru-Chipaya,ten,1515,TEN,,
Curva-10_ten-1,10_ten,čunka,čunka,tʃ u n k a,897,,,Curva,Apolobamba,apol1241,Apolo,,Quechuan,Quechua,ten,1515,TEN,,
Cuzco-10_ten-1,10_ten,čunka,čunka,tʃ u n k a,897,,,Cuzco,Cuzco,cusc1236,Cusco Quechua,quz,Quechuan,Quechua,ten,1515,TEN,,
CuzquenoAntiguo-10_ten-1,10_ten,chunca,chunca,tʃ u n k a,897,,,CuzquenoAntiguo,Cuzqueño Antiguo,,,,,Quechua,ten,1515,TEN,,
Huallaga-10_ten-1,10_ten,čunka,čunka,tʃ u n k a,897,,,Huallaga,Huallaga-Huánuco,hual1241,Huallaga Huánuco Quechua,qub,Quechuan,Quechua,ten,1515,TEN,,
Huanca-10_ten-1,10_ten,trunka,trunka,ʈʂ u n k a,897,,,Huanca,Huaylla-Huanca,huay1241,Huaylla Wanca Quechua,qvw,Quechuan,Quechua,ten,1515,TEN,,
Huancane-10_ten-1,10_ten,tunka,tunka,t u n k a,855,,quechua,Huancane,Huancané,,,,,Aymara,ten,1515,TEN,,
Huangascar-10_ten-1,10_ten,trunka,trunka,ʈ u n k a,897,,,Huangascar,Chocos-Huangáscar,azan1238,Azángaro-Huangáscar-Chocos,,Quechuan,Quechua,ten,1515,TEN,,
HuarazHuailas-10_ten-1,10_ten,chunka,chunka,tʃ u ɲ k a,897,,,HuarazHuailas,Huaraz-Huailas,huai1241,Huailas,,Quechuan,Quechua,ten,1515,TEN,,
Imbabura-10_ten-1,10_ten,chunga,chunga,tʃ u n g a,897,,,Imbabura,Imbabura,imba1240,Imbabura Highland Quichua,qvi,Quechuan,Quechua,ten,1515,TEN,,
Inkawasi-10_ten-1,10_ten,diez,diez,d i e s,898,,esp,Inkawasi,Lambayeque,lamb1276,Lambayeque Quechua,quf,Quechuan,Quechua,ten,1515,TEN,,
Iruhito-10_ten-1,10_ten,ka:lo:,ka:lo:,k aː l oː,899,,,Iruhito,Iruhito,urui1234,Uru-Iruito,,Uru-Chipaya,Uru-Chipaya,ten,1515,TEN,,
Jaqaru-10_ten-1,10_ten,ĉunka,ĉunka,ʈʂ u n k a,586,,quechua,Jaqaru,Jaqaru,jaqa1244,Jaqaru,jqr,Aymaran,Aymara,ten,1515,TEN,,
Kawki-10_ten-1,10_ten,ĉunka,ĉunka,ʈʂ u n k a,939,,quechua,Kawki,Kawki,cauq1239,Cauqui of Cachuy,,Aymaran,Aymara,ten,1515,TEN,,
Lamas-10_ten-1,10_ten,chunka,chunka,tʃ u n g a,897,,,Lamas,San Martín,sanm1289,San Martín Quechua,qvs,Quechuan,Quechua,ten,1515,TEN,,
Laraos-10_ten-1,10_ten,ĉunka,ĉunka,ʈʂ u n k a,897,,,Laraos,Laraos,yauy1235,Yauyos Quechua,qux,Quechuan,Quechua,ten,1515,TEN,,
Lincha-Tana-10_ten-1,10_ten,trunka,trunka,ʈ u n k a,897,,,Lincha-Tana,Lincha-Tana,tana1291,Tana-Lincha,,Quechuan,Quechua,ten,1515,TEN,,
Maragua-10_ten-1,10_ten,čunka,čunka,tʃ u n k a,897,,,Maragua,Chuquisaca,sout2991,South Bolivian Quechua,quh,Quechuan,Quechua,ten,1515,TEN,,
Napo-10_ten-1,10_ten,chunga,chunga,tʃ u n g a,897,,,Napo,Napo,napo1242,Napo Lowland Quechua,qvo,Quechuan,Quechua,ten,1515,TEN,,
Pacaraos-10_ten-1,10_ten,trunka,trunka,ʈʂ u ŋ k a,897,,,Pacaraos,Pacaraos,paca1245,Pacaraos Quechua,qvp,Quechuan,Quechua,ten,1515,TEN,,
Pastaza-10_ten-1,10_ten,chingu,chingu,tʃ i n g u,897,,,Pastaza,Pastaza,sout2990,Southern Pastaza Quechua,qup,Quechuan,Quechua,ten,1515,TEN,,
Pocona-10_ten-1,10_ten,čunka,čunka,tʃ u n k a,897,,,Pocona,Cochabamba,coch1274,Cochabamba,,Quechuan,Quechua,ten,1515,TEN,,
Puki-10_ten-1,10_ten,tunka,tunka,t u n k a,587,,quechua,Puki,Puki,,,,,Aymara,ten,1515,TEN,,
Puno-10_ten-1,10_ten,čunka,čunka,tʃ u n k a,897,,,Puno,Puno,puno1238,Puno Quechua,qxp,Quechuan,Quechua,ten,1515,TEN,,
Putumayo-10_ten-1,10_ten,chunga,chunga,tʃ u n g a,897,,,Putumayo,Colombian Inga,inga1252,Colombian Inga,inb,Quechuan,Quechua,ten,1515,TEN,,
Raimondi-10_ten-1,10_ten,chunka,chunka,tʃ u ɲ k a,897,,,Raimondi,Antonio Raimondi,,,,,Quechua,ten,1515,TEN,,
SanPedro-10_ten-1,10_ten,trunka,trunka,ʈ u n k a,897,,,SanPedro,Liscay-San Pedro,sanp1258,San Pedro de Huacarpana,,Quechuan,Quechua,ten,1515,TEN,,
Santiagueno-10_ten-1,10_ten,chunka,chunka,tʃ u ŋ k a,897,,,Santiagueno,Santiago del Estero,sant1432,Santiago del Estero Quichua,qus,Quechuan,Quechua,ten,1515,TEN,,
SantoTomas-10_ten-1,10_ten,chunka,chunka,tʃ u n k a,897,,,SantoTomas,Santo Tomás,clas1251,Classical Quechua,qwc,Quechuan,Quechua,ten,1515,TEN,,
Serena-10_ten-1,10_ten,čunga,čunga,tʃ u n g a,897,,,Serena,Tena,tena1240,Tena Lowland Quichua,quw,Quechuan,Quechua,ten,1515,TEN,,
Sullkatiti-10_ten-1,10_ten,tunka,tunka,t u n k a,589,,quechua,Sullkatiti,Sullkatiti,,,,,Aymara,ten,1515,TEN,,
Taquile-10_ten-1,10_ten,čunka,čunka,tʃ u n k a,897,,,Taquile,Taquile,,,,,Quechua,ten,1515,TEN,,
Tarma-10_ten-1,10_ten,ĉun̊ka,ĉun̊ka,ʈʂ u ŋ k a,897,,,Tarma,Yaru,yaru1256,Yaru Quechua,,Quechuan,Quechua,ten,1515,TEN,,
Troje-10_ten-1,10_ten,čunga,čunga,tʃ u n g a,897,,,Troje,Chimborazo,nort3351,North Chimborazo Highland Quichua,,Quechuan,Quechua,ten,1515,TEN,,
Tsimu-10_ten-1,10_ten,khá:r̂o,khá:r̂o,kʰ aː r o,899,,,Tsimu,Ts’imu,tsim1260,Ts'imu,,Uru-Chipaya,Uru-Chipaya,ten,1515,TEN,,
Wari-10_ten-1,10_ten,chunka,chunka,tʃ u ɲ k a,897,,,Wari,Huari,,,,,Quechua,ten,1515,TEN,,
Yanac-10_ten-1,10_ten,ĉunka,ĉunka,ʈʂ u n k a,897,,,Yanac,Corongo,coro1247,Corongo Ancash Quechua,qwa,Quechuan,Quechua,ten,1515,TEN,,
Apurimac-100_green-1,100_green,qomir,qomir,q o m i r,282,,,Apurimac,Eastern-Apurímac,east2551,Eastern Apurímac Quechua,qve,Quechuan,Quechua,green,1425,GREEN,,
Atalla-100_green-1,100_green,χiwa,χiwa,χ i w a,201,,,Atalla,Huancavelica,huan1249,Huancavelica,,Quechuan,Quechua,green,1425,GREEN,,
Ayacucho-100_green-1,100_green,qumiř,qumiř,χ u m i !r̝/r,282,,,Ayacucho,Ayacucho,ayac1239,Ayacucho Quechua,quy,Quechuan,Quechua,green,1425,GREEN,,
Bobonaza-100_green-1,100_green,birdi,birdi,b i r d i,658,,esp,Bobonaza,Bobonaza,,,,,Quechua,green,1425,GREEN,,
Chachapoyas-100_green-1,100_green,chikyaj,chikyaj,tʃ i k j a x,454,,aymara,Chachapoyas,Chachapoyas,chac1250,Chachapoyas Quechua,quk,Quechuan,Quechua,green,1425,GREEN,,
Chacpar-100_green-1,100_green,verde,verde,b e r d e,522,,esp,Chacpar,Chavín,,,,,Quechua,green,1425,GREEN,,
Chetilla-100_green-1,100_green,čiγyax,čiγyax,tʃ i ʁ j a x,805,,aymara,Chetilla,Cajamarca,caja1238,Cajamarca Quechua,qvc,Quechuan,Quechua,green,1425,GREEN,,
Chipaya-100_green-1,100_green,č'ojña,č'ojña,tʃʼ o j ɲ a,485,,aymara,Chipaya,Chipaya,chip1262,Chipaya,cap,Uru-Chipaya,Uru-Chipaya,green,1425,GREEN,,
Curva-100_green-1,100_green,q'umir,q'umir,qʼ u m i r,282,,,Curva,Apolobamba,apol1241,Apolo,,Quechuan,Quechua,green,1425,GREEN,,
Cuzco-100_green-1,100_green,q'umir,q'umir,qʼ u m i r,282,,,Cuzco,Cuzco,cusc1236,Cusco Quechua,quz,Quechuan,Quechua,green,1425,GREEN,,
Huallaga-100_green-1,100_green,verde,verde,b e r d e,524,,esp,Huallaga,Huallaga-Huánuco,hual1241,Huallaga Huánuco Quechua,qub,Quechuan,Quechua,green,1425,GREEN,,
Huanca-100_green-1,100_green,birdi,birdi,b i ɾ d i,541,,esp,Huanca,Huaylla-Huanca,huay1241,Huaylla Wanca Quechua,qvw,Quechuan,Quechua,green,1425,GREEN,,
Huancane-100_green-1,100_green,č'uχña,č'uχña,tʃʼ u χ ɲ a,486,,,Huancane,Huancané,,,,,Aymara,green,1425,GREEN,,
HuarazHuailas-100_green-1,100_green,beri,beri,b e ɾ i,534,,esp,HuarazHuailas,Huaraz-Huailas,huai1241,Huailas,,Quechuan,Quechua,green,1425,GREEN,,
Imbabura-100_green-1,100_green,birdi,birdi,b i ɾ d i,542,,esp,Imbabura,Imbabura,imba1240,Imbabura Highland Quichua,qvi,Quechuan,Quechua,green,1425,GREEN,,
Inkawasi-100_green-1,100_green,čiχyaχ,čiχyaχ,tʃ i χ j a χ,807,,aymara,Inkawasi,Lambayeque,lamb1276,Lambayeque Quechua,quf,Quechuan,Quechua,green,1425,GREEN,,
Jaqaru-100_green-1,100_green,verde,verde,b e r d e,284,,esp,Jaqaru,Jaqaru,jaqa1244,Jaqaru,jqr,Aymaran,Aymara,green,1425,GREEN,,
Kawki-100_green-1,100_green,čikya,čikya,tʃ i k j a,285,,,Kawki,Kawki,cauq1239,Cauqui of Cachuy,,Aymaran,Aymara,green,1425,GREEN,,
Lamas-100_green-1,100_green,chikjak,chikjak,tʃ i k j a k,808,,aymara,Lamas,San Martín,sanm1289,San Martín Quechua,qvs,Quechuan,Quechua,green,1425,GREEN,,
Laraos-100_green-1,100_green,verde,verde,b e r d e,523,,esp,Laraos,Laraos,yauy1235,Yauyos Quechua,qux,Quechuan,Quechua,green,1425,GREEN,,
Maragua-100_green-1,100_green,q'umir,q'umir,qʼ u m i r,282,,,Maragua,Chuquisaca,sout2991,South Bolivian Quechua,quh,Quechuan,Quechua,green,1425,GREEN,,
Napo-100_green-1,100_green,birdi,birdi,b i r d i,536,,esp,Napo,Napo,napo1242,Napo Lowland Quechua,qvo,Quechuan,Quechua,green,1425,GREEN,,
Pacaraos-100_green-1,100_green,berdi,berdi,b e r d i,532,,esp,Pacaraos,Pacaraos,paca1245,Pacaraos Quechua,qvp,Quechuan,Quechua,green,1425,GREEN,,
Pastaza-100_green-1,100_green,quillu,quillu,k i ʎ u,1012,,,Pastaza,Pastaza,sout2990,Southern Pastaza Quechua,qup,Quechuan,Quechua,green,1425,GREEN,,
Pocona-100_green-1,100_green,q'umir,q'umir,qʼ u m i r,282,,,Pocona,Cochabamba,coch1274,Cochabamba,,Quechuan,Quechua,green,1425,GREEN,,
Puki-100_green-1,100_green,č'uχña,č'uχña,tʃʼ u χ ɲ a,486,,,Puki,Puki,,,,,Aymara,green,1425,GREEN,,
Puno-100_green-1,100_green,q'umir,q'umir,qʼ u m i r,282,,,Puno,Puno,puno1238,Puno Quechua,qxp,Quechuan,Quechua,green,1425,GREEN,,
Raimondi-100_green-1,100_green,berdi,berdi,b e ɾ d i,533,,esp,Raimondi,Antonio Raimondi,,,,,Quechua,green,1425,GREEN,,
Santiagueno-100_green-1,100_green,qomer,qomer,q o m e ɾ,282,,,Santiagueno,Santiago del Estero,sant1432,Santiago del Estero Quichua,qus,Quechuan,Quechua,green,1425,GREEN,,
SantoTomas-100_green-1,100_green,ococya,ococya,o k o k j a,281,,,SantoTomas,Santo Tomás,clas1251,Classical Quechua,qwc,Quechuan,Quechua,green,1425,GREEN,,
Serena-100_green-1,100_green,verde,verde,b e r d e,525,,esp,Serena,Tena,tena1240,Tena Lowland Quichua,quw,Quechuan,Quechua,green,1425,GREEN,,
Sullkatiti-100_green-1,100_green,č'uχña,č'uχña,tʃʼ u χ ɲ a,486,,,Sullkatiti,Sullkatiti,,,,,Aymara,green,1425,GREEN,,
Taquile-100_green-1,100_green,q'umir,q'umir,qʼ u m i r,282,,,Taquile,Taquile,,,,,Quechua,green,1425,GREEN,,
Troje-100_green-1,100_green,verde,verde,b e r d e,529,,esp,Troje,Chimborazo,nort3351,North Chimborazo Highland Quichua,,Quechuan,Quechua,green,1425,GREEN,,
Wari-100_green-1,100_green,cheqlla,cheqlla,tʃ e q ʎ a,809,,aymara,Wari,Huari,,,,,Quechua,green,1425,GREEN,,
Yanac-100_green-1,100_green,tsiqyaq,tsiqyaq,ts i q j a q,815,,aymara,Yanac,Corongo,coro1247,Corongo Ancash Quechua,qwa,Quechuan,Quechua,green,1425,GREEN,,
Anonimo-101_yellow-1,101_yellow,"quello, carhua",quello,k e ʎ ɔ,1012,,,Anonimo,Anónimo,,,,,Quechua,yellow,1424,YELLOW,,
Anonimo-101_yellow-2,101_yellow,"quello, carhua",carhua,k a r w a,995,,,Anonimo,Anónimo,,,,,Quechua,yellow,1424,YELLOW,,
Apuri-101_yellow-1,101_yellow,qarwa,qarwa,q a ɾ w a,995,,,Apuri,Apurí-Madean-Viñac,apur1253,Apurí,,Quechuan,Quechua,yellow,1424,YELLOW,,
Apurimac-101_yellow-1,101_yellow,qarwa,qarwa,q a r w a,995,,,Apurimac,Eastern-Apurímac,east2551,Eastern Apurímac Quechua,qve,Quechuan,Quechua,yellow,1424,YELLOW,,
Arma-101_yellow-1,101_yellow,qillu,qillu,χ i ʎ u,1012,,,Arma,Arma,,,,,Quechua,yellow,1424,YELLOW,,
Atalla-101_yellow-1,101_yellow,χiλu,χiλu,χ i ʎ u,1012,,,Atalla,Huancavelica,huan1249,Huancavelica,,Quechuan,Quechua,yellow,1424,YELLOW,,
Ayacucho-101_yellow-1,101_yellow,qellu,qellu,χ e ʎ u,1012,,,Ayacucho,Ayacucho,ayac1239,Ayacucho Quechua,quy,Quechuan,Quechua,yellow,1424,YELLOW,,
Bobonaza-101_yellow-1,101_yellow,quillu,quillu,k i ʎ u,1012,,,Bobonaza,Bobonaza,,,,,Quechua,yellow,1424,YELLOW,,
Cacra-Hongos-101_yellow-1,101_yellow,qarwa,qarwa,q a l w a,995,,,Cacra-Hongos,Cacra-Hongos,cacr1238,Cacra-Hongos,,Quechuan,Quechua,yellow,1424,YELLOW,,
Chachapoyas-101_yellow-1,101_yellow,killu,killu,k i dʑ u,1012,,,Chachapoyas,Chachapoyas,chac1250,Chachapoyas Quechua,quk,Quechuan,Quechua,yellow,1424,YELLOW,,
Chacpar-101_yellow-1,101_yellow,ġaλwa.š,ġaλwa.š,ɢ a ʎ w a ʃ,995,,,Chacpar,Chavín,,,,,Quechua,yellow,1424,YELLOW,,
Chetilla-101_yellow-1,101_yellow,qarwa,qarwa,q a r w a,995,,,Chetilla,Cajamarca,caja1238,Cajamarca Quechua,qvc,Quechuan,Quechua,yellow,1424,YELLOW,,
Chipaya-101_yellow-1,101_yellow,q'iλu,q'iλu,qʼ i ʎ u,1016,,,Chipaya,Chipaya,chip1262,Chipaya,cap,Uru-Chipaya,Uru-Chipaya,yellow,1424,YELLOW,,
Curva-101_yellow-1,101_yellow,q'iλu,q'iλu,qʼ i ʎ u,1012,,,Curva,Apolobamba,apol1241,Apolo,,Quechuan,Quechua,yellow,1424,YELLOW,,
Cuzco-101_yellow-1,101_yellow,q'iλu,q'iλu,qʼ i ʎ u,1012,,,Cuzco,Cuzco,cusc1236,Cusco Quechua,quz,Quechuan,Quechua,yellow,1424,YELLOW,,
CuzquenoAntiguo-101_yellow-1,101_yellow,"qqello, ccarhua",qqello,χ i ʎ u,1012,,,CuzquenoAntiguo,Cuzqueño Antiguo,,,,,Quechua,yellow,1424,YELLOW,,
CuzquenoAntiguo-101_yellow-2,101_yellow,"qqello, ccarhua",ccarhua,χ a r w a,995,,,CuzquenoAntiguo,Cuzqueño Antiguo,,,,,Quechua,yellow,1424,YELLOW,,
Huallaga-101_yellow-1,101_yellow,qarwa.š,qarwa.š,q a r w a ʃ,995,,,Huallaga,Huallaga-Huánuco,hual1241,Huallaga Huánuco Quechua,qub,Quechuan,Quechua,yellow,1424,YELLOW,,
Jauja-101_yellow-1,101_yellow,tunqush,tunqush,t u n ʔ u ʂ,102,,,Jauja,Jauja-Huanca,jauj1238,Jauja Wanca Quechua,qxw,Quechuan,Quechua,yellow,1424,YELLOW,,
Huanca-101_yellow-1,101_yellow,tunqush,tunqush,t u n ʔ u ʂ,102,,,Huanca,Huaylla-Huanca,huay1241,Huaylla Wanca Quechua,qvw,Quechuan,Quechua,yellow,1424,YELLOW,,
Huancane-101_yellow-1,101_yellow,q'iλu,q'iλu,qʼ i ʎ u,61,,quechua,Huancane,Huancané,,,,,Aymara,yellow,1424,YELLOW,,
