ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
NorthHighlandMixe-1_all-1,1_all,nəhυm,nəhυm,n ə h υ/ʊ m,1_all-1,,,NorthHighlandMixe,North Highland Mixe,toto1305,Totontepec Mixe,mto,Mixe-Zoque,,all,98,ALL,,
SouthHighlandMixe-1_all-1,1_all,tukəʔy,tukəʔy,t u k ə ʔ j,1_all-2,,,SouthHighlandMixe,South Highland Mixe,tlah1239,Tlahuitoltepec Mixe,mxp,Mixe-Zoque,,all,98,ALL,,
LowlandMixe-1_all-1,1_all,tuʔuk-ʔokəy,tuʔuk-ʔokəy,t u ʔ u k + ʔ o k ə j,1_all-2,,,LowlandMixe,Lowland Mixe,coat1238,Coatlán Mixe,mco,Mixe-Zoque,,all,98,ALL,,
SayulaPopoluca-1_all-1,1_all,nu pəhən,nu pəhən,n u + p ə h ə n,1_all-3,,,SayulaPopoluca,Sayula Popoluca,sayu1241,Sayula Popoluca,pos,Mixe-Zoque,,all,98,ALL,,
OlutaPopoluca-1_all-1,1_all,niʔtiʔk,niʔtiʔk,n i ʔ t i ʔ k,1_all-4,,,OlutaPopoluca,Oluta Popoluca,olut1240,Oluta Popoluca,plo,Mixe-Zoque,,all,98,ALL,,
TexistepecZoque-1_all-1,1_all,bumbe,bumbe,b u m b e,1_all-5,,,TexistepecZoque,Texistepec Zoque,texi1237,Texistepec Popoluca,poq,Mixe-Zoque,,all,98,ALL,,
SoteapanZoque-1_all-1,1_all,ikuməh,ikuməh,i k u m ə h,1_all-6,,,SoteapanZoque,Soteapan Zoque,high1276,Highland Popoluca,poi,Mixe-Zoque,,all,98,ALL,,
SantaMariaChimalapaZoque-1_all-1,1_all,aŋteneʔ,aŋteneʔ,a ŋ t e n e ʔ,1_all-7,,,SantaMariaChimalapaZoque,Santa María Chimalapa Zoque,chim1300,Chimalapa Zoque,zoh,Mixe-Zoque,,all,98,ALL,,
SanMiguelChimalapaZoque-1_all-1,1_all,hemhiʔ,hemhiʔ,h e m h i ʔ,1_all-8,,,SanMiguelChimalapaZoque,San Miguel Chimalapa Zoque,chim1300,Chimalapa Zoque,zoh,Mixe-Zoque,,all,98,ALL,,
ChiapasZoque-1_all-1,1_all,mumu,mumu,m u m u,1_all-5,,,ChiapasZoque,Chiapas Zoque,copa1236,Central-South Chiapas Zoque,zoc,Mixe-Zoque,,all,98,ALL,,
NorthHighlandMixe-2_ashes-1,2_ashes,haahm,haahm,h aː h m,2_ashes-2,,,NorthHighlandMixe,North Highland Mixe,toto1305,Totontepec Mixe,mto,Mixe-Zoque,,ashes,646,ASH,,
SouthHighlandMixe-2_ashes-1,2_ashes,haam,haam,h aː m,2_ashes-2,,,SouthHighlandMixe,South Highland Mixe,tlah1239,Tlahuitoltepec Mixe,mxp,Mixe-Zoque,,ashes,646,ASH,,
LowlandMixe-2_ashes-1,2_ashes,kuy-haam,kuy-haam,k u j + h aː m,2_ashes-1,,,LowlandMixe,Lowland Mixe,coat1238,Coatlán Mixe,mco,Mixe-Zoque,,ashes,646,ASH,,
SayulaPopoluca-2_ashes-1,2_ashes,kuy-hahm,kuy-hahm,k u j + h a h m,2_ashes-1,,,SayulaPopoluca,Sayula Popoluca,sayu1241,Sayula Popoluca,pos,Mixe-Zoque,,ashes,646,ASH,,
OlutaPopoluca-2_ashes-1,2_ashes,hamə,hamə,h a m ə,2_ashes-2,,,OlutaPopoluca,Oluta Popoluca,olut1240,Oluta Popoluca,plo,Mixe-Zoque,,ashes,646,ASH,,
TexistepecZoque-2_ashes-1,2_ashes,kuyam,kuyam,k u j a m,2_ashes-1,,,TexistepecZoque,Texistepec Zoque,texi1237,Texistepec Popoluca,poq,Mixe-Zoque,,ashes,646,ASH,,
SoteapanZoque-2_ashes-1,2_ashes,kuy-ham,kuy-ham,k u j + h a m,2_ashes-1,,,SoteapanZoque,Soteapan Zoque,high1276,Highland Popoluca,poi,Mixe-Zoque,,ashes,646,ASH,,
SantaMariaChimalapaZoque-2_ashes-1,2_ashes,kuy-ham,kuy-ham,k u j + h a m,2_ashes-1,,,SantaMariaChimalapaZoque,Santa María Chimalapa Zoque,chim1300,Chimalapa Zoque,zoh,Mixe-Zoque,,ashes,646,ASH,,
SanMiguelChimalapaZoque-2_ashes-1,2_ashes,kuy-ham,kuy-ham,k u j + h a m,2_ashes-1,,,SanMiguelChimalapaZoque,San Miguel Chimalapa Zoque,chim1300,Chimalapa Zoque,zoh,Mixe-Zoque,,ashes,646,ASH,,
ChiapasZoque-2_ashes-1,2_ashes,kuy-ham,kuy-ham,k u j + h a m,2_ashes-1,,,ChiapasZoque,Chiapas Zoque,copa1236,Central-South Chiapas Zoque,zoc,Mixe-Zoque,,ashes,646,ASH,,
NorthHighlandMixe-3_bark-1,3_bark,kïp ak,kïp ak,k ɨ p + a k,3_bark-1,,,NorthHighlandMixe,North Highland Mixe,toto1305,Totontepec Mixe,mto,Mixe-Zoque,,bark,1204,BARK,,
SouthHighlandMixe-3_bark-1,3_bark,ak,ak,a k,3_bark-1,,,SouthHighlandMixe,South Highland Mixe,tlah1239,Tlahuitoltepec Mixe,mxp,Mixe-Zoque,,bark,1204,BARK,,
LowlandMixe-3_bark-1,3_bark,ak,ak,a k,3_bark-1,,,LowlandMixe,Lowland Mixe,coat1238,Coatlán Mixe,mco,Mixe-Zoque,,bark,1204,BARK,,
SayulaPopoluca-3_bark-1,3_bark,ak,ak,a k,3_bark-1,,,SayulaPopoluca,Sayula Popoluca,sayu1241,Sayula Popoluca,pos,Mixe-Zoque,,bark,1204,BARK,,
TexistepecZoque-3_bark-1,3_bark,kuy-daak,kuy-daak,k u j + d aː k,3_bark-2,,,TexistepecZoque,Texistepec Zoque,texi1237,Texistepec Popoluca,poq,Mixe-Zoque,,bark,1204,BARK,,
SantaMariaChimalapaZoque-3_bark-1,3_bark,naka,naka,n a k a,3_bark-2,,,SantaMariaChimalapaZoque,Santa María Chimalapa Zoque,chim1300,Chimalapa Zoque,zoh,Mixe-Zoque,,bark,1204,BARK,,
SanMiguelChimalapaZoque-3_bark-1,3_bark,kuy naka,kuy naka,k u j + n a k a,3_bark-2,,,SanMiguelChimalapaZoque,San Miguel Chimalapa Zoque,chim1300,Chimalapa Zoque,zoh,Mixe-Zoque,,bark,1204,BARK,,
ChiapasZoque-3_bark-1,3_bark,kuʔyu-naka,kuʔyu-naka,k u ʔ j u + n a k a,3_bark-2,,,ChiapasZoque,Chiapas Zoque,copa1236,Central-South Chiapas Zoque,zoc,Mixe-Zoque,,bark,1204,BARK,,
NorthHighlandMixe-4_belly-1,4_belly,tiints,tiints,t iː n ts,4_belly-1,,,NorthHighlandMixe,North Highland Mixe,toto1305,Totontepec Mixe,mto,Mixe-Zoque,,belly,1251,BELLY,,
SouthHighlandMixe-4_belly-1,4_belly,mææts,mææts,m æː ts,4_belly-5,,,SouthHighlandMixe,South Highland Mixe,tlah1239,Tlahuitoltepec Mixe,mxp,Mixe-Zoque,,belly,1251,BELLY,,
LowlandMixe-4_belly-1,4_belly,moʔošak,moʔošak,m o ʔ o ʃ a k,4_belly-2,,,LowlandMixe,Lowland Mixe,coat1238,Coatlán Mixe,mco,Mixe-Zoque,,belly,1251,BELLY,,
SayulaPopoluca-4_belly-1,4_belly,tin-čay,tin-čay,t i n + tʃ a j,4_belly-1,,,SayulaPopoluca,Sayula Popoluca,sayu1241,Sayula Popoluca,pos,Mixe-Zoque,,belly,1251,BELLY,,
OlutaPopoluca-4_belly-1,4_belly,puʔpu,puʔpu,p u ʔ p u,4_belly-3,,,OlutaPopoluca,Oluta Popoluca,olut1240,Oluta Popoluca,plo,Mixe-Zoque,,belly,1251,BELLY,,
TexistepecZoque-4_belly-1,4_belly,tsek,tsek,ts e k,4_belly-4,,,TexistepecZoque,Texistepec Zoque,texi1237,Texistepec Popoluca,poq,Mixe-Zoque,,belly,1251,BELLY,,
SantaMariaChimalapaZoque-4_belly-1,4_belly,tsek,tsek,ts e k,4_belly-4,,,SantaMariaChimalapaZoque,Santa María Chimalapa Zoque,chim1300,Chimalapa Zoque,zoh,Mixe-Zoque,,belly,1251,BELLY,,
SanMiguelChimalapaZoque-4_belly-1,4_belly,tsek,tsek,ts e k,4_belly-4,,,SanMiguelChimalapaZoque,San Miguel Chimalapa Zoque,chim1300,Chimalapa Zoque,zoh,Mixe-Zoque,,belly,1251,BELLY,,
ChiapasZoque-4_belly-1,4_belly,tsek,tsek,ts e k,4_belly-4,,,ChiapasZoque,Chiapas Zoque,copa1236,Central-South Chiapas Zoque,zoc,Mixe-Zoque,,belly,1251,BELLY,,
NorthHighlandMixe-5_big-1,5_big,məh,məh,m ə h,5_big-1,,,NorthHighlandMixe,North Highland Mixe,toto1305,Totontepec Mixe,mto,Mixe-Zoque,,big,1202,BIG,,
SouthHighlandMixe-5_big-1,5_big,məh,məh,m ə h,5_big-1,,,SouthHighlandMixe,South Highland Mixe,tlah1239,Tlahuitoltepec Mixe,mxp,Mixe-Zoque,,big,1202,BIG,,
LowlandMixe-5_big-1,5_big,məh,məh,m ə h,5_big-1,,,LowlandMixe,Lowland Mixe,coat1238,Coatlán Mixe,mco,Mixe-Zoque,,big,1202,BIG,,
SayulaPopoluca-5_big-1,5_big,məh,məh,m ə h,5_big-1,,,SayulaPopoluca,Sayula Popoluca,sayu1241,Sayula Popoluca,pos,Mixe-Zoque,,big,1202,BIG,,
OlutaPopoluca-5_big-1,5_big,taʔnək,taʔnək,t a ʔ n ə k,5_big-2,,,OlutaPopoluca,Oluta Popoluca,olut1240,Oluta Popoluca,plo,Mixe-Zoque,,big,1202,BIG,,
TexistepecZoque-5_big-1,5_big,wəəčeʔ,wəəčeʔ,w əː tʃ e ʔ,5_big-3,,,TexistepecZoque,Texistepec Zoque,texi1237,Texistepec Popoluca,poq,Mixe-Zoque,,big,1202,BIG,,
SoteapanZoque-5_big-1,5_big,məh,məh,m ə h,5_big-1,,,SoteapanZoque,Soteapan Zoque,high1276,Highland Popoluca,poi,Mixe-Zoque,,big,1202,BIG,,
SantaMariaChimalapaZoque-5_big-1,5_big,wətiʔ,wətiʔ,w ə t i ʔ,5_big-3,,,SantaMariaChimalapaZoque,Santa María Chimalapa Zoque,chim1300,Chimalapa Zoque,zoh,Mixe-Zoque,,big,1202,BIG,,
SanMiguelChimalapaZoque-5_big-1,5_big,komiʔ,komiʔ,k o m i ʔ,5_big-5,,,SanMiguelChimalapaZoque,San Miguel Chimalapa Zoque,chim1300,Chimalapa Zoque,zoh,Mixe-Zoque,,big,1202,BIG,,
ChiapasZoque-5_big-1,5_big,məha,məha,m ə h a,5_big-1,,,ChiapasZoque,Chiapas Zoque,copa1236,Central-South Chiapas Zoque,zoc,Mixe-Zoque,,big,1202,BIG,,
NorthHighlandMixe-6_bird-1,6_bird,həəyva,həəyva,h əː j v a,6_bird-1,,,NorthHighlandMixe,North Highland Mixe,toto1305,Totontepec Mixe,mto,Mixe-Zoque,,bird,937,BIRD,,
SouthHighlandMixe-6_bird-1,6_bird,hoon,hoon,h oː n,6_bird-2,,,SouthHighlandMixe,South Highland Mixe,tlah1239,Tlahuitoltepec Mixe,mxp,Mixe-Zoque,,bird,937,BIRD,,
LowlandMixe-6_bird-1,6_bird,hoon,hoon,h oː n,6_bird-2,,,LowlandMixe,Lowland Mixe,coat1238,Coatlán Mixe,mco,Mixe-Zoque,,bird,937,BIRD,,
SayulaPopoluca-6_bird-1,6_bird,hohn,hohn,h o h n,6_bird-2,,,SayulaPopoluca,Sayula Popoluca,sayu1241,Sayula Popoluca,pos,Mixe-Zoque,,bird,937,BIRD,,
OlutaPopoluca-6_bird-1,6_bird,muuši,muuši,m uː ʃ i,6_bird-3,,,OlutaPopoluca,Oluta Popoluca,olut1240,Oluta Popoluca,plo,Mixe-Zoque,,bird,937,BIRD,,
TexistepecZoque-6_bird-1,6_bird,hon,hon,h o n,6_bird-2,,,TexistepecZoque,Texistepec Zoque,texi1237,Texistepec Popoluca,poq,Mixe-Zoque,,bird,937,BIRD,,
SoteapanZoque-6_bird-1,6_bird,hon,hon,h o n,6_bird-2,,,SoteapanZoque,Soteapan Zoque,high1276,Highland Popoluca,poi,Mixe-Zoque,,bird,937,BIRD,,
SantaMariaChimalapaZoque-6_bird-1,6_bird,hon,hon,h o n,6_bird-2,,,SantaMariaChimalapaZoque,Santa María Chimalapa Zoque,chim1300,Chimalapa Zoque,zoh,Mixe-Zoque,,bird,937,BIRD,,
SanMiguelChimalapaZoque-6_bird-1,6_bird,hon,hon,h o n,6_bird-2,,,SanMiguelChimalapaZoque,San Miguel Chimalapa Zoque,chim1300,Chimalapa Zoque,zoh,Mixe-Zoque,,bird,937,BIRD,,
ChiapasZoque-6_bird-1,6_bird,paloma,paloma,p a l o m a,6_bird-4,,,ChiapasZoque,Chiapas Zoque,copa1236,Central-South Chiapas Zoque,zoc,Mixe-Zoque,,bird,937,BIRD,,
NorthHighlandMixe-7_bite-1,7_bite,tsuʔuts,tsuʔuts,ts u ʔ u ts,7_bite-1,,,NorthHighlandMixe,North Highland Mixe,toto1305,Totontepec Mixe,mto,Mixe-Zoque,,bite,1403,BITE,,
SouthHighlandMixe-7_bite-1,7_bite,tsuʔuts,tsuʔuts,ts u ʔ u ts,7_bite-1,,,SouthHighlandMixe,South Highland Mixe,tlah1239,Tlahuitoltepec Mixe,mxp,Mixe-Zoque,,bite,1403,BITE,,
LowlandMixe-7_bite-1,7_bite,noots,noots,n oː ts,7_bite-2,,,LowlandMixe,Lowland Mixe,coat1238,Coatlán Mixe,mco,Mixe-Zoque,,bite,1403,BITE,,
SayulaPopoluca-7_bite-1,7_bite,kutoʔ,kutoʔ,k u t o ʔ,7_bite-3,,,SayulaPopoluca,Sayula Popoluca,sayu1241,Sayula Popoluca,pos,Mixe-Zoque,,bite,1403,BITE,,
OlutaPopoluca-7_bite-1,7_bite,tsuʔts,tsuʔts,ts u ʔ ts,7_bite-4,,,OlutaPopoluca,Oluta Popoluca,olut1240,Oluta Popoluca,plo,Mixe-Zoque,,bite,1403,BITE,,
TexistepecZoque-7_bite-1,7_bite,keʔts,keʔts,k e ʔ ts,7_bite-5,,,TexistepecZoque,Texistepec Zoque,texi1237,Texistepec Popoluca,poq,Mixe-Zoque,,bite,1403,BITE,,
SoteapanZoque-7_bite-1,7_bite,was,was,w a s,7_bite-6,,,SoteapanZoque,Soteapan Zoque,high1276,Highland Popoluca,poi,Mixe-Zoque,,bite,1403,BITE,,
SanMiguelChimalapaZoque-7_bite-1,7_bite,waš,waš,w a ʃ,7_bite-6,,,SanMiguelChimalapaZoque,San Miguel Chimalapa Zoque,chim1300,Chimalapa Zoque,zoh,Mixe-Zoque,,bite,1403,BITE,,
ChiapasZoque-7_bite-1,7_bite,keʔts,keʔts,k e ʔ ts,7_bite-5,,,ChiapasZoque,Chiapas Zoque,copa1236,Central-South Chiapas Zoque,zoc,Mixe-Zoque,,bite,1403,BITE,,
NorthHighlandMixe-8_black-1,8_black,yək,yək,j ə k,8_black-1,,,NorthHighlandMixe,North Highland Mixe,toto1305,Totontepec Mixe,mto,Mixe-Zoque,,black,163,BLACK,,
SouthHighlandMixe-8_black-1,8_black,yəhk,yəhk,j ə h k,8_black-1,,,SouthHighlandMixe,South Highland Mixe,tlah1239,Tlahuitoltepec Mixe,mxp,Mixe-Zoque,,black,163,BLACK,,
LowlandMixe-8_black-1,8_black,yik,yik,j i k,8_black-1,,,LowlandMixe,Lowland Mixe,coat1238,Coatlán Mixe,mco,Mixe-Zoque,,black,163,BLACK,,
SayulaPopoluca-8_black-1,8_black,yəgək,yəgək,j ə g ə k,8_black-2,,,SayulaPopoluca,Sayula Popoluca,sayu1241,Sayula Popoluca,pos,Mixe-Zoque,,black,163,BLACK,,
OlutaPopoluca-8_black-1,8_black,yəkəʔk,yəkəʔk,j ə k ə ʔ k,8_black-2,,,OlutaPopoluca,Oluta Popoluca,olut1240,Oluta Popoluca,plo,Mixe-Zoque,,black,163,BLACK,,
TexistepecZoque-8_black-1,8_black,yək,yək,j ə k,8_black-1,,,TexistepecZoque,Texistepec Zoque,texi1237,Texistepec Popoluca,poq,Mixe-Zoque,,black,163,BLACK,,
SoteapanZoque-8_black-1,8_black,yək,yək,j ə k,8_black-1,,,SoteapanZoque,Soteapan Zoque,high1276,Highland Popoluca,poi,Mixe-Zoque,,black,163,BLACK,,
SantaMariaChimalapaZoque-8_black-1,8_black,yək,yək,j ə k,8_black-1,,,SantaMariaChimalapaZoque,Santa María Chimalapa Zoque,chim1300,Chimalapa Zoque,zoh,Mixe-Zoque,,black,163,BLACK,,
SanMiguelChimalapaZoque-8_black-1,8_black,yək-yək,yək-yək,j ə k + j ə k,8_black-1,,,SanMiguelChimalapaZoque,San Miguel Chimalapa Zoque,chim1300,Chimalapa Zoque,zoh,Mixe-Zoque,,black,163,BLACK,,
ChiapasZoque-8_black-1,8_black,yək,yək,j ə k,8_black-1,,,ChiapasZoque,Chiapas Zoque,copa1236,Central-South Chiapas Zoque,zoc,Mixe-Zoque,,black,163,BLACK,,
NorthHighlandMixe-9_blood-1,9_blood,nïïʔpun,nïïʔpun,n ïï/ɨː ʔ p u n,9_blood-1,,,NorthHighlandMixe,North Highland Mixe,toto1305,Totontepec Mixe,mto,Mixe-Zoque,,blood,946,BLOOD,,
SouthHighlandMixe-9_blood-1,9_blood,nəʔəpy,nəʔəpy,n ə ʔ ə p j,9_blood-1,,,SouthHighlandMixe,South Highland Mixe,tlah1239,Tlahuitoltepec Mixe,mxp,Mixe-Zoque,,blood,946,BLOOD,,
LowlandMixe-9_blood-1,9_blood,nəʔpy,nəʔpy,n ə ʔ p j,9_blood-1,,,LowlandMixe,Lowland Mixe,coat1238,Coatlán Mixe,mco,Mixe-Zoque,,blood,946,BLOOD,,
SayulaPopoluca-9_blood-1,9_blood,nipin,nipin,n i p i n,9_blood-1,,,SayulaPopoluca,Sayula Popoluca,sayu1241,Sayula Popoluca,pos,Mixe-Zoque,,blood,946,BLOOD,,
OlutaPopoluca-9_blood-1,9_blood,nəʔpiʔn,nəʔpiʔn,n ə ʔ p i ʔ n,9_blood-1,,,OlutaPopoluca,Oluta Popoluca,olut1240,Oluta Popoluca,plo,Mixe-Zoque,,blood,946,BLOOD,,
TexistepecZoque-9_blood-1,9_blood,dəʔəpeñ,dəʔəpeñ,d ə ʔ ə p e ɲ,9_blood-1,,,TexistepecZoque,Texistepec Zoque,texi1237,Texistepec Popoluca,poq,Mixe-Zoque,,blood,946,BLOOD,,
SoteapanZoque-9_blood-1,9_blood,nəʔəpiñ,nəʔəpiñ,n ə ʔ ə p i ɲ,9_blood-1,,,SoteapanZoque,Soteapan Zoque,high1276,Highland Popoluca,poi,Mixe-Zoque,,blood,946,BLOOD,,
SantaMariaChimalapaZoque-9_blood-1,9_blood,nəʔpin,nəʔpin,n ə ʔ p i n,9_blood-1,,,SantaMariaChimalapaZoque,Santa María Chimalapa Zoque,chim1300,Chimalapa Zoque,zoh,Mixe-Zoque,,blood,946,BLOOD,,
SanMiguelChimalapaZoque-9_blood-1,9_blood,nəpinʔ,nəpinʔ,n ə p i n ʔ,9_blood-1,,,SanMiguelChimalapaZoque,San Miguel Chimalapa Zoque,chim1300,Chimalapa Zoque,zoh,Mixe-Zoque,,blood,946,BLOOD,,
ChiapasZoque-9_blood-1,9_blood,nəʔpin,nəʔpin,n ə ʔ p i n,9_blood-1,,,ChiapasZoque,Chiapas Zoque,copa1236,Central-South Chiapas Zoque,zoc,Mixe-Zoque,,blood,946,BLOOD,,
NorthHighlandMixe-10_bone-1,10_bone,pahk,pahk,p a h k,10_bone-1,,,NorthHighlandMixe,North Highland Mixe,toto1305,Totontepec Mixe,mto,Mixe-Zoque,,bone,1394,BONE,,
SouthHighlandMixe-10_bone-1,10_bone,pahk,pahk,p a h k,10_bone-1,,,SouthHighlandMixe,South Highland Mixe,tlah1239,Tlahuitoltepec Mixe,mxp,Mixe-Zoque,,bone,1394,BONE,,
LowlandMixe-10_bone-1,10_bone,pahk,pahk,p a h k,10_bone-1,,,LowlandMixe,Lowland Mixe,coat1238,Coatlán Mixe,mco,Mixe-Zoque,,bone,1394,BONE,,
SayulaPopoluca-10_bone-1,10_bone,pahk,pahk,p a h k,10_bone-1,,,SayulaPopoluca,Sayula Popoluca,sayu1241,Sayula Popoluca,pos,Mixe-Zoque,,bone,1394,BONE,,
OlutaPopoluca-10_bone-1,10_bone,pakə,pakə,p a k ə,10_bone-1,,,OlutaPopoluca,Oluta Popoluca,olut1240,Oluta Popoluca,plo,Mixe-Zoque,,bone,1394,BONE,,
TexistepecZoque-10_bone-1,10_bone,pak,pak,p a k,10_bone-1,,,TexistepecZoque,Texistepec Zoque,texi1237,Texistepec Popoluca,poq,Mixe-Zoque,,bone,1394,BONE,,
SoteapanZoque-10_bone-1,10_bone,pak,pak,p a k,10_bone-1,,,SoteapanZoque,Soteapan Zoque,high1276,Highland Popoluca,poi,Mixe-Zoque,,bone,1394,BONE,,
SantaMariaChimalapaZoque-10_bone-1,10_bone,pak,pak,p a k,10_bone-1,,,SantaMariaChimalapaZoque,Santa María Chimalapa Zoque,chim1300,Chimalapa Zoque,zoh,Mixe-Zoque,,bone,1394,BONE,,
SanMiguelChimalapaZoque-10_bone-1,10_bone,pak,pak,p a k,10_bone-1,,,SanMiguelChimalapaZoque,San Miguel Chimalapa Zoque,chim1300,Chimalapa Zoque,zoh,Mixe-Zoque,,bone,1394,BONE,,
ChiapasZoque-10_bone-1,10_bone,pak,pak,p a k,10_bone-1,,,ChiapasZoque,Chiapas Zoque,copa1236,Central-South Chiapas Zoque,zoc,Mixe-Zoque,,bone,1394,BONE,,
NorthHighlandMixe-11_breast-1,11_breast,hυʔtaa,hυʔtaa,h υ/ʊ ʔ t aː,11_breast-1,,,NorthHighlandMixe,North Highland Mixe,toto1305,Totontepec Mixe,mto,Mixe-Zoque,,breast,1402,BREAST,,
SouthHighlandMixe-11_breast-1,11_breast,tsetsk,tsetsk,ts e ts k,11_breast-2,,,SouthHighlandMixe,South Highland Mixe,tlah1239,Tlahuitoltepec Mixe,mxp,Mixe-Zoque,,breast,1402,BREAST,,
LowlandMixe-11_breast-1,11_breast,tsiʔits-ʔaniʔikš,tsiʔits-ʔaniʔikš,ts i ʔ i ts + ʔ a n i ʔ i k ʃ,11_breast-2,,,LowlandMixe,Lowland Mixe,coat1238,Coatlán Mixe,mco,Mixe-Zoque,,breast,1402,BREAST,,
SayulaPopoluca-11_breast-1,11_breast,moʔy,moʔy,m o ʔ j,11_breast-3,,,SayulaPopoluca,Sayula Popoluca,sayu1241,Sayula Popoluca,pos,Mixe-Zoque,,breast,1402,BREAST,,
TexistepecZoque-11_breast-1,11_breast,duun,duun,d uː n,11_breast-4,,,TexistepecZoque,Texistepec Zoque,texi1237,Texistepec Popoluca,poq,Mixe-Zoque,,breast,1402,BREAST,,
SoteapanZoque-11_breast-1,11_breast,nuunu,nuunu,n uː n u,11_breast-4,,,SoteapanZoque,Soteapan Zoque,high1276,Highland Popoluca,poi,Mixe-Zoque,,breast,1402,BREAST,,
SanMiguelChimalapaZoque-11_breast-1,11_breast,tsuʔts-iʔ,tsuʔts-iʔ,ts u ʔ ts + i ʔ,11_breast-5,,,SanMiguelChimalapaZoque,San Miguel Chimalapa Zoque,chim1300,Chimalapa Zoque,zoh,Mixe-Zoque,,breast,1402,BREAST,,
ChiapasZoque-11_breast-1,11_breast,tsuʔtsi,tsuʔtsi,ts u ʔ ts i,11_breast-5,,,ChiapasZoque,Chiapas Zoque,copa1236,Central-South Chiapas Zoque,zoc,Mixe-Zoque,,breast,1402,BREAST,,
NorthHighlandMixe-12_burntr-1,12_burntr,tooy ~ toohy ~ toy,tooy,t oː j,12_burntr-1,,,NorthHighlandMixe,North Highland Mixe,toto1305,Totontepec Mixe,mto,Mixe-Zoque,,burn tr.,141,BURN (SOMETHING),,
NorthHighlandMixe-12_burntr-2,12_burntr,tooy ~ toohy ~ toy,toohy,t oː h j,12_burntr-1,,,NorthHighlandMixe,North Highland Mixe,toto1305,Totontepec Mixe,mto,Mixe-Zoque,,burn tr.,141,BURN (SOMETHING),,
NorthHighlandMixe-12_burntr-3,12_burntr,tooy ~ toohy ~ toy,toy,t o j,12_burntr-1,,,NorthHighlandMixe,North Highland Mixe,toto1305,Totontepec Mixe,mto,Mixe-Zoque,,burn tr.,141,BURN (SOMETHING),,
SouthHighlandMixe-12_burntr-1,12_burntr,tsaʔay,tsaʔay,ts a ʔ a j,12_burntr-8,,,SouthHighlandMixe,South Highland Mixe,tlah1239,Tlahuitoltepec Mixe,mxp,Mixe-Zoque,,burn tr.,141,BURN (SOMETHING),,
LowlandMixe-12_burntr-1,12_burntr,noʔok,noʔok,n o ʔ o k,12_burntr-2,,,LowlandMixe,Lowland Mixe,coat1238,Coatlán Mixe,mco,Mixe-Zoque,,burn tr.,141,BURN (SOMETHING),,
SayulaPopoluca-12_burntr-1,12_burntr,ak-toy,ak-toy,a k + t o j,12_burntr-3,,,SayulaPopoluca,Sayula Popoluca,sayu1241,Sayula Popoluca,pos,Mixe-Zoque,,burn tr.,141,BURN (SOMETHING),,
OlutaPopoluca-12_burntr-1,12_burntr,yak-toy,yak-toy,j a k + t o j,12_burntr-3,,,OlutaPopoluca,Oluta Popoluca,olut1240,Oluta Popoluca,plo,Mixe-Zoque,,burn tr.,141,BURN (SOMETHING),,
TexistepecZoque-12_burntr-1,12_burntr,doʔ-tokeñ,doʔ-tokeñ,d o ʔ + t o k e ɲ,12_burntr-5,,,TexistepecZoque,Texistepec Zoque,texi1237,Texistepec Popoluca,poq,Mixe-Zoque,,burn tr.,141,BURN (SOMETHING),,
SoteapanZoque-12_burntr-1,12_burntr,noʔ,noʔ,n o ʔ,12_burntr-6,,,SoteapanZoque,Soteapan Zoque,high1276,Highland Popoluca,poi,Mixe-Zoque,,burn tr.,141,BURN (SOMETHING),,
SantaMariaChimalapaZoque-12_burntr-1,12_burntr,kəŋ,kəŋ,k ə ŋ,12_burntr-7,,,SantaMariaChimalapaZoque,Santa María Chimalapa Zoque,chim1300,Chimalapa Zoque,zoh,Mixe-Zoque,,burn tr.,141,BURN (SOMETHING),,
SanMiguelChimalapaZoque-12_burntr-1,12_burntr,poŋ,poŋ,p o ŋ,12_burntr-4,,,SanMiguelChimalapaZoque,San Miguel Chimalapa Zoque,chim1300,Chimalapa Zoque,zoh,Mixe-Zoque,,burn tr.,141,BURN (SOMETHING),,
ChiapasZoque-12_burntr-1,12_burntr,poŋ,poŋ,p o ŋ,12_burntr-4,,,ChiapasZoque,Chiapas Zoque,copa1236,Central-South Chiapas Zoque,zoc,Mixe-Zoque,,burn tr.,141,BURN (SOMETHING),,
NorthHighlandMixe-13_clawnail-1,13_clawnail,šəəʔk,šəəʔk,ʃ əː ʔ k,13_clawnail-1,,,NorthHighlandMixe,North Highland Mixe,toto1305,Totontepec Mixe,mto,Mixe-Zoque,,claw (nail),2128,CLAW OR NAIL,,
SouthHighlandMixe-13_clawnail-1,13_clawnail,šooky,šooky,ʃ oː k j,13_clawnail-1,,,SouthHighlandMixe,South Highland Mixe,tlah1239,Tlahuitoltepec Mixe,mxp,Mixe-Zoque,,claw (nail),2128,CLAW OR NAIL,,
LowlandMixe-13_clawnail-1,13_clawnail,šooky,šooky,ʃ oː k j,13_clawnail-1,,,LowlandMixe,Lowland Mixe,coat1238,Coatlán Mixe,mco,Mixe-Zoque,,claw (nail),2128,CLAW OR NAIL,,
