ID,Parameter_ID,Value,Form,Segments,Cognacy,Loan,Borrowing,Language_ID,Language_Name,Glottocode,Glottolog_Name,ISO639P3code,Family,SubGroup,Parameter_Name,Concepticon_ID,Concepticon_Gloss,Cognacy_Doubt,Cognate_Detection_Method
Ak-1_i-1,1_i,õn,õn,õ n,001-1,,,Ak,Akuntsú,akun1241,Akuntsu,aqz,Tupian,,I,1209,I,false,expert
Ar-1_i-1,1_i,õõt,õõt,õ/õː t,001-1,,,Ar,Aruá,arua1261,Aruá (Rondonia State),arx,Tupian,,I,1209,I,false,expert
Gv-1_i-1,1_i,õõt,õõt,õ/õː t,001-1,,,Gv,Gavião,gavi1246,Gavião Do Jiparaná,gvo,Tupian,,I,1209,I,false,expert
Ju-1_i-1,1_i,una,una,u n a,001-1,,,Ju,Jurúna,juru1256,Jurúna,jur,Tupian,,I,1209,I,false,expert
Ka-1_i-1,1_i,ʔõn,ʔõn,ʔ õ n,001-1,,,Ka,Káro,karo1305,Karo (Brazil),arr,Tupian,,I,1209,I,false,expert
Kt-1_i-1,1_i,ĩn,ĩn,ĩ n,001-1,,,Kt,Karitiána,kari1311,Karitiâna,ktn,Tupian,,I,1209,I,false,expert
Ku-1_i-1,1_i,õn,õn,õ n,001-1,,,Ku,Kuruáya,kuru1309,Kuruáya,kyr,Tupian,,I,1209,I,false,expert
Ma-1_i-1,1_i,õn,õn,õ n,001-1,,,Ma,Makuráp,maku1278,Makuráp,mpu,Tupian,,I,1209,I,false,expert
Me-1_i-1,1_i,õn,õn,õ n,001-1,,,Me,Mekéns,saki1248,Mekens,skf,Tupian,,I,1209,I,false,expert
Mu-1_i-1,1_i,ṍn,ṍn,õ n,001-1,,,Mu,Mundurukú,mund1330,Mundurukú,myu,Tupian,,I,1209,I,false,expert
Pu-1_i-1,1_i,ʔõn,ʔõn,ʔ õ n,001-1,,,Pu,Puruborá,puru1264,Puruborá,pur,Tupian,,I,1209,I,false,expert
Sa-1_i-1,1_i,õõt,õõt,õ/õː t,001-1,,,Sa,Salamãy,sala1273,Salamãi,mnd,Tupian,,I,1209,I,false,expert
Su-1_i-1,1_i,ó.ẽn,ó.ẽn,ó/o + ẽ n,001-1,,,Su,Suruí,suru1262,Suruí,sru,Tupian,,I,1209,I,false,expert
Tu-1_i-1,1_i,õn,õn,õ n,001-1,,,Tu,Tuparí,tupa1250,Tuparí,tpr,Tupian,,I,1209,I,false,expert
Wa-1_i-1,1_i,õn,õn,õ n,001-1,,,Wa,Wayoró,wayo1238,Wayoró,wyr,Tupian,,I,1209,I,false,expert
Xi-1_i-1,1_i,una,una,u n a,001-1,,,Xi,Xipáya,xipa1240,Xipaya,xiy,Tupian,,I,1209,I,false,expert
Zo-1_i-1,1_i,õõt,õõt,õ/õː t,001-1,,,Zo,Zoró,zoro1244,Zoró,,Tupian,,I,1209,I,false,expert
Aw-1_i-1,1_i,ito,ito,i t o,001-2,,,Aw,Awetí,awet1244,Awetí,awe,Tupian,,I,1209,I,false,expert
Mw-1_i-1,1_i,ujto,ujto,u j t o,001-2,,,Mw,Mawé,sate1243,Sateré-Mawé,mav,Tupian,,I,1209,I,false,expert
Pg-1_i-1,1_i,ʃe,ʃe,ʃ e,001-2,,,Pg,Paraguayan Guaraní,para1311,Paraguayan Guaraní,gug,Tupian,,I,1209,I,false,expert
Pt-1_i-1,1_i,ji(hi),ji,j i,001-2,,,Pt,Parintintín,pari1258,Parintintín,,Tupian,,I,1209,I,false,expert
Ta-1_i-1,1_i,ie,ie,i e,001-2,,,Ta,Tapirapé,tapi1254,Tapirapé,taf,Tupian,,I,1209,I,false,expert
Uk-1_i-1,1_i,ihẽ,ihẽ,i h ẽ,001-2,,,Uk,Urubú-Ka’apór,urub1250,Urubú-Kaapor,urb,Tupian,,I,1209,I,false,expert
Ak-2_you-1,2_you,en,en,e n,002-1,,,Ak,Akuntsú,akun1241,Akuntsu,aqz,Tupian,,YOU,1215,THOU,false,expert
Ar-2_you-1,2_you,ẽẽt,ẽẽt,ẽː t,002-1,,,Ar,Aruá,arua1261,Aruá (Rondonia State),arx,Tupian,,YOU,1215,THOU,false,expert
Aw-2_you-1,2_you,ʔen,ʔen,ʔ e n,002-1,,,Aw,Awetí,awet1244,Awetí,awe,Tupian,,YOU,1215,THOU,false,expert
Gv-2_you-1,2_you,ẽẽt,ẽẽt,ẽː t,002-1,,,Gv,Gavião,gavi1246,Gavião Do Jiparaná,gvo,Tupian,,YOU,1215,THOU,false,expert
Ju-2_you-1,2_you,ena,ena,e n a,002-1,,,Ju,Jurúna,juru1256,Jurúna,jur,Tupian,,YOU,1215,THOU,false,expert
Ka-2_you-1,2_you,ʔẽn,ʔẽn,ʔ ẽ n,002-1,,,Ka,Káro,karo1305,Karo (Brazil),arr,Tupian,,YOU,1215,THOU,false,expert
Kt-2_you-1,2_you,ãn,ãn,ã n,002-1,,,Kt,Karitiána,kari1311,Karitiâna,ktn,Tupian,,YOU,1215,THOU,false,expert
Ku-2_you-1,2_you,ẽn,ẽn,ẽ n,002-1,,,Ku,Kuruáya,kuru1309,Kuruáya,kyr,Tupian,,YOU,1215,THOU,false,expert
Ma-2_you-1,2_you,ẽn,ẽn,ẽ n,002-1,,,Ma,Makuráp,maku1278,Makuráp,mpu,Tupian,,YOU,1215,THOU,false,expert
Me-2_you-1,2_you,ẽt,ẽt,ẽ t,002-1,,,Me,Mekéns,saki1248,Mekens,skf,Tupian,,YOU,1215,THOU,false,expert
Mu-2_you-1,2_you,ẽ́n,ẽ́n,ẽ́/ẽ n,002-1,,,Mu,Mundurukú,mund1330,Mundurukú,myu,Tupian,,YOU,1215,THOU,false,expert
Mw-2_you-1,2_you,en,en,e n,002-1,,,Mw,Mawé,sate1243,Sateré-Mawé,mav,Tupian,,YOU,1215,THOU,false,expert
Pu-2_you-1,2_you,ʔẽn,ʔẽn,ʔ ẽ n,002-1,,,Pu,Puruborá,puru1264,Puruborá,pur,Tupian,,YOU,1215,THOU,false,expert
Sa-2_you-1,2_you,ẽẽt,ẽẽt,ẽː t,002-1,,,Sa,Salamãy,sala1273,Salamãi,mnd,Tupian,,YOU,1215,THOU,false,expert
Su-2_you-1,2_you,é.ẽn,é.ẽn,é/e + ẽ n,002-1,,,Su,Suruí,suru1262,Suruí,sru,Tupian,,YOU,1215,THOU,false,expert
Tu-2_you-1,2_you,ẽn,ẽn,ẽ n,002-1,,,Tu,Tuparí,tupa1250,Tuparí,tpr,Tupian,,YOU,1215,THOU,false,expert
Wa-2_you-1,2_you,ʔẽn,ʔẽn,ʔ ẽ n,002-1,,,Wa,Wayoró,wayo1238,Wayoró,wyr,Tupian,,YOU,1215,THOU,false,expert
Xi-2_you-1,2_you,ena,ena,e n a,002-1,,,Xi,Xipáya,xipa1240,Xipaya,xiy,Tupian,,YOU,1215,THOU,false,expert
Zo-2_you-1,2_you,ẽẽt,ẽẽt,ẽː t,002-1,,,Zo,Zoró,zoro1244,Zoró,,Tupian,,YOU,1215,THOU,false,expert
Pg-2_you-1,2_you,nde,nde,n d e,002-2,,,Pg,Paraguayan Guaraní,para1311,Paraguayan Guaraní,gug,Tupian,,YOU,1215,THOU,false,expert
Pt-2_you-1,2_you,nde(he),nde,n d e,002-2,,,Pt,Parintintín,pari1258,Parintintín,,Tupian,,YOU,1215,THOU,false,expert
Ta-2_you-1,2_you,ane,ane,a n e,002-2,,,Ta,Tapirapé,tapi1254,Tapirapé,taf,Tupian,,YOU,1215,THOU,false,expert
Uk-2_you-1,2_you,nde,nde,n d e,002-2,,,Uk,Urubú-Ka’apór,urub1250,Urubú-Kaapor,urb,Tupian,,YOU,1215,THOU,false,expert
Pg-3_weinclusive-1,3_weinclusive,ɲande,ɲande,ɲ a n d e,003-1,,,Pg,Paraguayan Guaraní,para1311,Paraguayan Guaraní,gug,Tupian,,WE (INCLUSIVE),1131,WE (INCLUSIVE),false,expert
Pt-3_weinclusive-1,3_weinclusive,ɲande,ɲande,ɲ a n d e,003-1,,,Pt,Parintintín,pari1258,Parintintín,,Tupian,,WE (INCLUSIVE),1131,WE (INCLUSIVE),false,expert
Ta-3_weinclusive-1,3_weinclusive,tjane,tjane,t j a n e,003-1,,,Ta,Tapirapé,tapi1254,Tapirapé,taf,Tupian,,WE (INCLUSIVE),1131,WE (INCLUSIVE),false,expert
Uk-3_weinclusive-1,3_weinclusive,jande,jande,j a n d e,003-1,,,Uk,Urubú-Ka’apór,urub1250,Urubú-Kaapor,urb,Tupian,,WE (INCLUSIVE),1131,WE (INCLUSIVE),false,expert
Ar-3_weinclusive-1,3_weinclusive,panóój,panóój,p a n óó/oː j,003-2,,,Ar,Aruá,arua1261,Aruá (Rondonia State),arx,Tupian,,WE (INCLUSIVE),1131,WE (INCLUSIVE),false,expert
Gv-3_weinclusive-1,3_weinclusive,panóój,panóój,p a n óó/oː j,003-2,,,Gv,Gavião,gavi1246,Gavião Do Jiparaná,gvo,Tupian,,WE (INCLUSIVE),1131,WE (INCLUSIVE),false,expert
Su-3_weinclusive-1,3_weinclusive,pá.ẽn,pá.ẽn,p á/a + ẽ n,003-2,,,Su,Suruí,suru1262,Suruí,sru,Tupian,,WE (INCLUSIVE),1131,WE (INCLUSIVE),false,expert
Zo-3_weinclusive-1,3_weinclusive,panóój,panóój,p a n óó/oː j,003-2,,,Zo,Zoró,zoro1244,Zoró,,Tupian,,WE (INCLUSIVE),1131,WE (INCLUSIVE),false,expert
Ak-3_weinclusive-1,3_weinclusive,kiʧe,kiʧe,k i tʃ e,003-3,,,Ak,Akuntsú,akun1241,Akuntsu,aqz,Tupian,,WE (INCLUSIVE),1131,WE (INCLUSIVE),false,expert
Ju-3_weinclusive-1,3_weinclusive,sí,sí,s í/i,003-3,,,Ju,Jurúna,juru1256,Jurúna,jur,Tupian,,WE (INCLUSIVE),1131,WE (INCLUSIVE),false,expert
Me-3_weinclusive-1,3_weinclusive,kise-jat,kise-jat,k i s e j a t,003-3,,,Me,Mekéns,saki1248,Mekens,skf,Tupian,,WE (INCLUSIVE),1131,WE (INCLUSIVE),false,expert
Tu-3_weinclusive-1,3_weinclusive,kitwat,kitwat,k i t w a t,003-3,,,Tu,Tuparí,tupa1250,Tuparí,tpr,Tupian,,WE (INCLUSIVE),1131,WE (INCLUSIVE),false,expert
Ku-3_weinclusive-1,3_weinclusive,weidɨsip,weidɨsip,w e i d ɨ s i p,003-4,,,Ku,Kuruáya,kuru1309,Kuruáya,kyr,Tupian,,WE (INCLUSIVE),1131,WE (INCLUSIVE),false,expert
Mu-3_weinclusive-1,3_weinclusive,wə̤jʤə́,wə̤jʤə́,w ə̤ j dʒ ə́/ə,003-4,,,Mu,Mundurukú,mund1330,Mundurukú,myu,Tupian,,WE (INCLUSIVE),1131,WE (INCLUSIVE),false,expert
Ka-3_weinclusive-1,3_weinclusive,iʔtə́,iʔtə́,i ʔ t ə́/ə,003-5,,,Ka,Káro,karo1305,Karo (Brazil),arr,Tupian,,WE (INCLUSIVE),1131,WE (INCLUSIVE),false,expert
Kt-3_weinclusive-1,3_weinclusive,ɨjʧa,ɨjʧa,ɨ j tʃ a,003-5,,,Kt,Karitiána,kari1311,Karitiâna,ktn,Tupian,,WE (INCLUSIVE),1131,WE (INCLUSIVE),false,expert
Aw-3_weinclusive-1,3_weinclusive,kajã,kajã,k a j ã,003-6,,,Aw,Awetí,awet1244,Awetí,awe,Tupian,,WE (INCLUSIVE),1131,WE (INCLUSIVE),false,expert
Mw-3_weinclusive-1,3_weinclusive,aito,aito,a i t o,003-7,,,Mw,Mawé,sate1243,Sateré-Mawé,mav,Tupian,,WE (INCLUSIVE),1131,WE (INCLUSIVE),false,expert
Wa-3_weinclusive-1,3_weinclusive,ʧiɾe,ʧiɾe,tʃ i ɾ e,003-8,,,Wa,Wayoró,wayo1238,Wayoró,wyr,Tupian,,WE (INCLUSIVE),1131,WE (INCLUSIVE),false,expert
Ma-3_weinclusive-1,3_weinclusive,kitẽjã,kitẽjã,k i t ẽ j ã,003-9,,,Ma,Makuráp,maku1278,Makuráp,mpu,Tupian,,WE (INCLUSIVE),1131,WE (INCLUSIVE),false,expert
Xi-3_weinclusive-1,3_weinclusive,uzudɨ,uzudɨ,u z u d ɨ,003-10,,,Xi,Xipáya,xipa1240,Xipaya,xiy,Tupian,,WE (INCLUSIVE),1131,WE (INCLUSIVE),false,expert
Pu-3_weinclusive-1,3_weinclusive,je-ßəɾa,je-ßəɾa,j e β ə ɾ a,003-11,,,Pu,Puruborá,puru1264,Puruborá,pur,Tupian,,WE (INCLUSIVE),1131,WE (INCLUSIVE),false,expert
Ar-4_this-1,4_this,ãã́,ãã́,ãã́/ãː,004-1,,,Ar,Aruá,arua1261,Aruá (Rondonia State),arx,Tupian,,THIS,1214,THIS,false,expert
Gv-4_this-1,4_this,ãã́,ãã́,ãã́/ãː,004-1,,,Gv,Gavião,gavi1246,Gavião Do Jiparaná,gvo,Tupian,,THIS,1214,THIS,false,expert
Ju-4_this-1,4_this,anɨ,anɨ,a n ɨ,004-1,,,Ju,Jurúna,juru1256,Jurúna,jur,Tupian,,THIS,1214,THIS,false,expert
Su-4_this-1,4_this,ãã́,ãã́,ãã́/ãː,004-1,,,Su,Suruí,suru1262,Suruí,sru,Tupian,,THIS,1214,THIS,false,expert
Xi-4_this-1,4_this,anɨ,anɨ,a n ɨ,004-1,,,Xi,Xipáya,xipa1240,Xipaya,xiy,Tupian,,THIS,1214,THIS,false,expert
Zo-4_this-1,4_this,ãã́,ãã́,ãã́/ãː,004-1,,,Zo,Zoró,zoro1244,Zoró,,Tupian,,THIS,1214,THIS,false,expert
Ak-4_this-1,4_this,eme,eme,e m e,004-2,,,Ak,Akuntsú,akun1241,Akuntsu,aqz,Tupian,,THIS,1214,THIS,false,expert
Ka-4_this-1,4_this,mẽt,mẽt,m ẽ t,004-2,,,Ka,Káro,karo1305,Karo (Brazil),arr,Tupian,,THIS,1214,THIS,false,expert
Mw-4_this-1,4_this,mẽjẽ,mẽjẽ,m ẽ j ẽ,004-2,,,Mw,Mawé,sate1243,Sateré-Mawé,mav,Tupian,,THIS,1214,THIS,false,expert
Uk-4_this-1,4_this,komeʔẽ,komeʔẽ,k o m e ʔ ẽ,004-2,,,Uk,Urubú-Ka’apór,urub1250,Urubú-Kaapor,urb,Tupian,,THIS,1214,THIS,false,expert
Wa-4_this-1,4_this,ẽẽ,ẽẽ,ẽː,004-2,,,Wa,Wayoró,wayo1238,Wayoró,wyr,Tupian,,THIS,1214,THIS,false,expert
Mu-4_this-1,4_this,i-ʤa,i-ʤa,i dʒ a,004-3,,,Mu,Mundurukú,mund1330,Mundurukú,myu,Tupian,,THIS,1214,THIS,false,expert
Ta-4_this-1,4_this,hã,hã,h ã,004-3,,,Ta,Tapirapé,tapi1254,Tapirapé,taf,Tupian,,THIS,1214,THIS,false,expert
Tu-4_this-1,4_this,ha-,ha-,h a,004-3,,,Tu,Tuparí,tupa1250,Tuparí,tpr,Tupian,,THIS,1214,THIS,false,expert
Pg-4_this-1,4_this,ko(va),ko,k o,004-4,,,Pg,Paraguayan Guaraní,para1311,Paraguayan Guaraní,gug,Tupian,,THIS,1214,THIS,false,expert
Pt-4_this-1,4_this,aɡwa,aɡwa,a g w a,004-5,,,Pt,Parintintín,pari1258,Parintintín,,Tupian,,THIS,1214,THIS,false,expert
Aw-4_this-1,4_this,akoj,akoj,a k o j,004-6,,,Aw,Awetí,awet1244,Awetí,awe,Tupian,,THIS,1214,THIS,false,expert
Ma-4_this-1,4_this,ʧẽɾõ,ʧẽɾõ,tʃ ẽ ɾ õ,004-7,,,Ma,Makuráp,maku1278,Makuráp,mpu,Tupian,,THIS,1214,THIS,false,expert
Me-4_this-1,4_this,op,op,o p,004-8,,,Me,Mekéns,saki1248,Mekens,skf,Tupian,,THIS,1214,THIS,false,expert
Kt-4_this-1,4_this,kahɨt,kahɨt,k a h ɨ t,004-9,,,Kt,Karitiána,kari1311,Karitiâna,ktn,Tupian,,THIS,1214,THIS,false,expert
Ar-5_that-1,5_that,jè,jè,j è/e,005-1,,,Ar,Aruá,arua1261,Aruá (Rondonia State),arx,Tupian,,THAT,78,THAT,false,expert
Gv-5_that-1,5_that,jè,jè,j è/e,005-1,,,Gv,Gavião,gavi1246,Gavião Do Jiparaná,gvo,Tupian,,THAT,78,THAT,false,expert
Ka-5_that-1,5_that,jet je,jet je,j e t + j e,005-1,,,Ka,Káro,karo1305,Karo (Brazil),arr,Tupian,,THAT,78,THAT,false,expert
Su-5_that-1,5_that,je,je,j e,005-1,,,Su,Suruí,suru1262,Suruí,sru,Tupian,,THAT,78,THAT,false,expert
Zo-5_that-1,5_that,ji,ji,j i,005-1,,,Zo,Zoró,zoro1244,Zoró,,Tupian,,THAT,78,THAT,false,expert
Ta-5_that-1,5_that,epe,epe,e p e,005-2,,,Ta,Tapirapé,tapi1254,Tapirapé,taf,Tupian,,THAT,78,THAT,false,expert
Uk-5_that-1,5_that,pemeʔẽ,pemeʔẽ,p e m e ʔ ẽ,005-2,,,Uk,Urubú-Ka’apór,urub1250,Urubú-Kaapor,urb,Tupian,,THAT,78,THAT,false,expert
Ak-5_that-1,5_that,jẽɾom,jẽɾom,j ẽ ɾ o m,005-3,,,Ak,Akuntsú,akun1241,Akuntsu,aqz,Tupian,,THAT,78,THAT,false,expert
Ma-5_that-1,5_that,mẽɾõ,mẽɾõ,m ẽ ɾ õ,005-3,,,Ma,Makuráp,maku1278,Makuráp,mpu,Tupian,,THAT,78,THAT,false,expert
Ju-5_that-1,5_that,amɨ,amɨ,a m ɨ,005-4,,,Ju,Jurúna,juru1256,Jurúna,jur,Tupian,,THAT,78,THAT,false,expert
Xi-5_that-1,5_that,amɨ,amɨ,a m ɨ,005-4,,,Xi,Xipáya,xipa1240,Xipaya,xiy,Tupian,,THAT,78,THAT,false,expert
Pg-5_that-1,5_that,amova,amova,a m o v a,005-5,,,Pg,Paraguayan Guaraní,para1311,Paraguayan Guaraní,gug,Tupian,,THAT,78,THAT,false,expert
Pt-5_that-1,5_that,ŋwi,ŋwi,ŋ w i,005-6,,,Pt,Parintintín,pari1258,Parintintín,,Tupian,,THAT,78,THAT,false,expert
Aw-5_that-1,5_that,jatã,jatã,j a t ã,005-7,,,Aw,Awetí,awet1244,Awetí,awe,Tupian,,THAT,78,THAT,false,expert
Mw-5_that-1,5_that,meiko,meiko,m e i k o,005-8,,,Mw,Mawé,sate1243,Sateré-Mawé,mav,Tupian,,THAT,78,THAT,false,expert
Mu-5_that-1,5_that,i-bó,i-bó,i b ó/o,005-9,,,Mu,Mundurukú,mund1330,Mundurukú,myu,Tupian,,THAT,78,THAT,false,expert
Me-5_that-1,5_that,eke,eke,e k e,005-10,,,Me,Mekéns,saki1248,Mekens,skf,Tupian,,THAT,78,THAT,false,expert
Kt-5_that-1,5_that,kahɨt,kahɨt,k a h ɨ t,005-11,,,Kt,Karitiána,kari1311,Karitiâna,ktn,Tupian,,THAT,78,THAT,false,expert
Ar-6_what-1,6_what,mé,mé,m é/e,006-1,,,Ar,Aruá,arua1261,Aruá (Rondonia State),arx,Tupian,,WHAT,1236,WHAT,false,expert
Gv-6_what-1,6_what,mé,mé,m é/e,006-1,,,Gv,Gavião,gavi1246,Gavião Do Jiparaná,gvo,Tupian,,WHAT,1236,WHAT,false,expert
Sa-6_what-1,6_what,mé,mé,m é/e,006-1,,,Sa,Salamãy,sala1273,Salamãi,mnd,Tupian,,WHAT,1236,WHAT,false,expert
Zo-6_what-1,6_what,mé,mé,m é/e,006-1,,,Zo,Zoró,zoro1244,Zoró,,Tupian,,WHAT,1236,WHAT,false,expert
Kt-6_what-1,6_what,mõɾã,mõɾã,m õ ɾ ã,006-2,,,Kt,Karitiána,kari1311,Karitiâna,ktn,Tupian,,WHAT,1236,WHAT,false,expert
Pg-6_what-1,6_what,mbaʔe,mbaʔe,m b a ʔ e,006-2,,,Pg,Paraguayan Guaraní,para1311,Paraguayan Guaraní,gug,Tupian,,WHAT,1236,WHAT,false,expert
Ta-6_what-1,6_what,mahe,mahe,m a h e,006-2,,,Ta,Tapirapé,tapi1254,Tapirapé,taf,Tupian,,WHAT,1236,WHAT,false,expert
Uk-6_what-1,6_what,maʔe,maʔe,m a ʔ e,006-2,,,Uk,Urubú-Ka’apór,urub1250,Urubú-Kaapor,urb,Tupian,,WHAT,1236,WHAT,false,expert
Aw-6_what-1,6_what,kaɾika,kaɾika,k a ɾ i k a,006-3,,,Aw,Awetí,awet1244,Awetí,awe,Tupian,,WHAT,1236,WHAT,false,expert
Mw-6_what-1,6_what,kat,kat,k a t,006-3,,,Mw,Mawé,sate1243,Sateré-Mawé,mav,Tupian,,WHAT,1236,WHAT,false,expert
Pt-6_what-1,6_what,ɡaɾa,ɡaɾa,g a ɾ a,006-3,,,Pt,Parintintín,pari1258,Parintintín,,Tupian,,WHAT,1236,WHAT,false,expert
Tu-6_what-1,6_what,kat,kat,k a t,006-3,,,Tu,Tuparí,tupa1250,Tuparí,tpr,Tupian,,WHAT,1236,WHAT,false,expert
Ku-6_what-1,6_what,ado,ado,a d o,006-4,,,Ku,Kuruáya,kuru1309,Kuruáya,kyr,Tupian,,WHAT,1236,WHAT,false,expert
Me-6_what-1,6_what,aɾop,aɾop,a ɾ o p,006-4,,,Me,Mekéns,saki1248,Mekens,skf,Tupian,,WHAT,1236,WHAT,false,expert
Mu-6_what-1,6_what,aʤó ~ áʤo,aʤó,a dʒ ó/o,006-4,,,Mu,Mundurukú,mund1330,Mundurukú,myu,Tupian,,WHAT,1236,WHAT,false,expert
Mu-6_what-2,6_what,aʤó ~ áʤo,áʤo,á/a dʒ o,006-4,,,Mu,Mundurukú,mund1330,Mundurukú,myu,Tupian,,WHAT,1236,WHAT,false,expert
Wa-6_what-1,6_what,aɾop,aɾop,a ɾ o p,006-4,,,Wa,Wayoró,wayo1238,Wayoró,wyr,Tupian,,WHAT,1236,WHAT,false,expert
Ju-6_what-1,6_what,apá,apá,a p á/a,006-5,,,Ju,Jurúna,juru1256,Jurúna,jur,Tupian,,WHAT,1236,WHAT,false,expert
Xi-6_what-1,6_what,apa,apa,a p a,006-5,,,Xi,Xipáya,xipa1240,Xipaya,xiy,Tupian,,WHAT,1236,WHAT,false,expert
Ma-6_what-1,6_what,alikʔop,alikʔop,a l i k ʔ o p,006-6,,,Ma,Makuráp,maku1278,Makuráp,mpu,Tupian,,WHAT,1236,WHAT,false,expert
Su-6_what-1,6_what,nã́ãn,nã́ãn,n ã́/ã ã n,006-7,,,Su,Suruí,suru1262,Suruí,sru,Tupian,,WHAT,1236,WHAT,false,expert
Ka-6_what-1,6_what,kɨt,kɨt,k ɨ t,006-8,,,Ka,Káro,karo1305,Karo (Brazil),arr,Tupian,,WHAT,1236,WHAT,false,expert
Ju-7_who-1,7_who,má,má,m á/a,007-1,,,Ju,Jurúna,juru1256,Jurúna,jur,Tupian,,WHO,1235,WHO,false,expert
Ku-7_who-1,7_who,abɨ,abɨ,a b ɨ,007-1,,,Ku,Kuruáya,kuru1309,Kuruáya,kyr,Tupian,,WHO,1235,WHO,false,expert
Mu-7_who-1,7_who,abə́ ~ ábə,abə́,a b ə́/ə,007-1,,,Mu,Mundurukú,mund1330,Mundurukú,myu,Tupian,,WHO,1235,WHO,false,expert
Mu-7_who-2,7_who,abə́ ~ ábə,ábə,á/a b ə,007-1,,,Mu,Mundurukú,mund1330,Mundurukú,myu,Tupian,,WHO,1235,WHO,false,expert
Pg-7_who-1,7_who,mava,mava,m a v a,007-1,,,Pg,Paraguayan Guaraní,para1311,Paraguayan Guaraní,gug,Tupian,,WHO,1235,WHO,false,expert
Pt-7_who-1,7_who,maʔŋa,maʔŋa,m a ʔ ŋ a,007-1,,,Pt,Parintintín,pari1258,Parintintín,,Tupian,,WHO,1235,WHO,false,expert
Ta-7_who-1,7_who,ãwã,ãwã,ã w ã,007-1,,,Ta,Tapirapé,tapi1254,Tapirapé,taf,Tupian,,WHO,1235,WHO,false,expert
Uk-7_who-1,7_who,awa,awa,a w a,007-1,,,Uk,Urubú-Ka’apór,urub1250,Urubú-Kaapor,urb,Tupian,,WHO,1235,WHO,false,expert
Xi-7_who-1,7_who,ma,ma,m a,007-1,,,Xi,Xipáya,xipa1240,Xipaya,xiy,Tupian,,WHO,1235,WHO,false,expert
Ar-7_who-1,7_who,mé,mé,m é/e,007-2,,,Ar,Aruá,arua1261,Aruá (Rondonia State),arx,Tupian,,WHO,1235,WHO,false,expert
Gv-7_who-1,7_who,mé,mé,m é/e,007-2,,,Gv,Gavião,gavi1246,Gavião Do Jiparaná,gvo,Tupian,,WHO,1235,WHO,false,expert
Ka-7_who-1,7_who,mõɾã,mõɾã,m õ ɾ ã,007-2,,,Ka,Káro,karo1305,Karo (Brazil),arr,Tupian,,WHO,1235,WHO,false,expert
Zo-7_who-1,7_who,mé,mé,m é/e,007-2,,,Zo,Zoró,zoro1244,Zoró,,Tupian,,WHO,1235,WHO,false,expert
Tu-7_who-1,7_who,apo,apo,a p o,007-3,,,Tu,Tuparí,tupa1250,Tuparí,tpr,Tupian,,WHO,1235,WHO,false,expert
Wa-7_who-1,7_who,apokwaat,apokwaat,a p o k w aː t,007-3,,,Wa,Wayoró,wayo1238,Wayoró,wyr,Tupian,,WHO,1235,WHO,false,expert
Ma-7_who-1,7_who,alikop,alikop,a l i k o p,007-4,,,Ma,Makuráp,maku1278,Makuráp,mpu,Tupian,,WHO,1235,WHO,false,expert
Me-7_who-1,7_who,aɾobẽp,aɾobẽp,a ɾ o b ẽ p,007-4,,,Me,Mekéns,saki1248,Mekens,skf,Tupian,,WHO,1235,WHO,false,expert
Aw-7_who-1,7_who,kojɨka,kojɨka,k o j ɨ k a,007-5,,,Aw,Awetí,awet1244,Awetí,awe,Tupian,,WHO,1235,WHO,false,expert
Mw-7_who-1,7_who,uwẽi,uwẽi,u w ẽ i,007-6,,,Mw,Mawé,sate1243,Sateré-Mawé,mav,Tupian,,WHO,1235,WHO,false,expert
Ka-7_who-2,7_who,nãn,nãn,n ã n,007-7,,,Ka,Káro,karo1305,Karo (Brazil),arr,Tupian,,WHO,1235,WHO,false,expert
Ak-8_not-1,8_not,nom,nom,n o m,008-1,,,Ak,Akuntsú,akun1241,Akuntsu,aqz,Tupian,,NOT,1240,NOT,false,expert
Ar-8_not-1,8_not,ṍṍp,ṍṍp,ṍṍ/õː p,008-1,,,Ar,Aruá,arua1261,Aruá (Rondonia State),arx,Tupian,,NOT,1240,NOT,false,expert
Gv-8_not-1,8_not,ṍõ̀p,ṍõ̀p,õ õ̀/õ p,008-1,,,Gv,Gavião,gavi1246,Gavião Do Jiparaná,gvo,Tupian,,NOT,1240,NOT,false,expert
Me-8_not-1,8_not,nop,nop,n o p,008-1,,,Me,Mekéns,saki1248,Mekens,skf,Tupian,,NOT,1240,NOT,false,expert
Pu-8_not-1,8_not,nõ,nõ,n õ,008-1,,,Pu,Puruborá,puru1264,Puruborá,pur,Tupian,,NOT,1240,NOT,false,expert
Tu-8_not-1,8_not,-ʔõm,-ʔõm,ʔ õ m,008-1,,,Tu,Tuparí,tupa1250,Tuparí,tpr,Tupian,,NOT,1240,NOT,false,expert
Wa-8_not-1,8_not,-õm,-õm,õ m,008-1,,,Wa,Wayoró,wayo1238,Wayoró,wyr,Tupian,,NOT,1240,NOT,false,expert
Zo-8_not-1,8_not,ṍõ̀p,ṍõ̀p,õ õ̀/õ p,008-1,,,Zo,Zoró,zoro1244,Zoró,,Tupian,,NOT,1240,NOT,false,expert
Mw-8_not-1,8_not,ɨ(ɨ)t ʔi,ɨt ʔi,ɨ t + ʔ i,008-2,,,Mw,Mawé,sate1243,Sateré-Mawé,mav,Tupian,,NOT,1240,NOT,false,expert
